"","X","Year","T","S","Annual.Avg.T","Annual.Avg.S"
"1",1,1977.6437,9.227,33.8186,10.2794,33.2753
"2",2,1977.8142,8.9113,33.7199,10.2794,33.2753
"3",3,1978.1538,8.0444,33.0752,10.2794,33.2753
"4",4,1978.3325,8.3702,32.8978,10.2794,33.2753
"5",5,1978.4988,10.0201,32.9765,10.2794,33.2753
"6",6,1978.6324,8.4817,33.2254,10.2794,33.2753
"7",7,1979.1701,7.9242,33.2633,10.2794,33.2753
"8",8,1979.3629,9.3788,33.4444,10.2794,33.2753
"9",9,1979.5013,10.4958,33.4587,10.2794,33.2753
"10",10,1979.6308,10.4811,33.4196,10.2794,33.2753
"11",11,1979.7798,8.951,33.5573,10.2794,33.2753
"12",12,1980.1886,9.0797,33.8712,10.2794,33.2753
"13",13,1980.3133,9.6003,33.7338,10.2794,33.2753
"14",14,1980.4171,10.3053,33.5234,10.2794,33.2753
"15",15,1980.5608,9.6604,33.9355,10.2794,33.2753
"16",16,1980.7617,9.3233,33.6018,10.2794,33.2753
"17",17,1980.9144,7.8527,33.8171,10.2794,33.2753
"18",18,1981.2375,8.1708,33.7067,10.2794,33.2753
"19",19,1982.2115,8.7752,32.9361,10.2794,33.2753
"20",20,1983.4211,10.725,33.0509,10.2794,33.2753
"21",21,1983.9012,9.221,33.1969,10.2794,33.2753
"22",22,1984.0915,9.8083,33.0063,10.2794,33.2753
"23",23,1984.3725,9.8288,32.9924,10.2794,33.2753
"24",24,1984.8594,11.2274,33.4804,10.2794,33.2753
"25",25,1985.0879,9.7943,33.9147,10.2794,33.2753
"26",26,1985.2891,11.0279,33.9931,10.2794,33.2753
"27",27,1985.3839,11.8916,33.899,10.2794,33.2753
"28",28,1985.6829,10.9059,33.7985,10.2794,33.2753
"29",29,1985.8734,11.0644,33.8449,10.2794,33.2753
"30",30,1986.0481,10.7017,34.0313,10.2794,33.2753
"31",31,1986.3725,12.3912,33.8297,10.2794,33.2753
"32",32,1986.678,11.2749,33.648,10.2794,33.2753
"33",33,1986.8634,10.3473,33.5778,10.2794,33.2753
"34",34,1987.0476,10.1647,33.3668,10.2794,33.2753
"35",35,1987.3638,10.1591,33.0289,10.2794,33.2753
"36",36,1987.6518,9.3997,33.0896,10.2794,33.2753
"37",37,1987.8683,7.6191,32.9983,10.2794,33.2753
"38",38,1991.2102,11.4347,33.3228,10.2794,33.2753
"39",39,1991.7206,10.2664,33.175,10.2794,33.2753
"40",40,1992.2047,9.9951,32.9794,10.2794,33.2753
"41",41,1992.4686,10.2715,32.5337,10.2794,33.2753
"42",42,1992.7291,9.265,32.9678,10.2794,33.2753
"43",43,1993.1248,9.7693,32.9479,10.2794,33.2753
"44",44,1993.228,8.5482,32.6627,10.2794,33.2753
"45",45,1993.716,8.687,33.186,10.2794,33.2753
"46",46,1994.108,9.7968,33.3044,10.2794,33.2753
"47",47,1994.1999,9.313,32.9245,10.2794,33.2753
"48",48,1994.4972,10.2102,33.9677,10.2794,33.2753
"49",49,1994.5898,9.8501,33.5182,10.2794,33.2753
"50",50,1994.7238,10.6269,33.4927,10.2794,33.2753
"51",51,1995.1266,10.3949,33.64,10.2794,33.2753
"52",52,1995.2307,10.7624,33.6245,10.2794,33.2753
"53",53,1995.7145,13.6726,33.2283,10.2794,33.2753
"54",54,1996.1259,9.7696,33.348,10.2794,33.2753
"55",55,1996.2383,9.1428,32.9791,10.2794,33.2753
"56",56,1996.4452,9.1128,32.6542,10.2794,33.2753
"57",57,1996.5996,6.9309,32.6576,10.2794,33.2753
"58",58,1996.7235,9.7034,32.3704,10.2794,33.2753
