"","Year","T","S","Annual Avg T","Annual Avg S"
"1",1977.6017,8.9629,33.4684,9.58,32.954
"2",1977.8396,10.4246,33.5411,9.58,32.954
"3",1977.9182,10.8661,33.6812,9.58,32.954
"4",1978.2014,7.2944,32.8958,9.58,32.954
"5",1978.3775,7.9378,32.8463,9.58,32.954
"6",1978.5291,8.5618,33.0583,9.58,32.954
"7",1978.6712,7.762,32.7678,9.58,32.954
"8",1978.7797,8.6216,33.3609,9.58,32.954
"9",1978.8822,9.4259,32.6827,9.58,32.954
"10",1979.1914,7.9297,33.1941,9.58,32.954
"11",1979.3869,8.5771,33.0255,9.58,32.954
"12",1979.5269,9.4702,33.3473,9.58,32.954
"13",1979.6506,9.6575,33.4033,9.58,32.954
"14",1979.8081,9.5139,33.9127,9.58,32.954
"15",1980.1803,8.5701,33.3356,9.58,32.954
"16",1980.2345,8.7131,33.3723,9.58,32.954
"17",1980.3402,9.4787,33.37,9.58,32.954
"18",1980.4458,8.99,33.5438,9.58,32.954
"19",1980.5859,9.3648,33.5434,9.58,32.954
"20",1980.7997,9.0581,33.563,9.58,32.954
"21",1980.9542,9.2088,33.5401,9.58,32.954
"22",1981.1876,9.209,33.2923,9.58,32.954
"23",1981.2627,9.672,33.3425,9.58,32.954
"24",1981.4346,9.7182,33.4128,9.58,32.954
"25",1981.9315,9.5212,33.0833,9.58,32.954
"26",1982.1842,8.3776,32.8573,9.58,32.954
"27",1982.3903,9.0856,33.1858,9.58,32.954
"28",1982.741,6.979,33.9211,9.58,32.954
"29",1982.8942,9.7507,33.2657,9.58,32.954
"30",1983.0692,10.8937,33.195,9.58,32.954
"31",1983.4441,9.1579,32.7582,9.58,32.954
"32",1983.926,9.668,33.0952,9.58,32.954
"33",1984.0648,9.1242,32.6841,9.58,32.954
"34",1984.3963,9.4745,33.1299,9.58,32.954
"35",1984.9021,10.5778,33.1449,9.58,32.954
"36",1985.0696,9.8648,33.4731,9.58,32.954
"37",1985.2652,9.5466,33.2828,9.58,32.954
"38",1985.3672,10.3747,33.4463,9.58,32.954
"39",1985.7033,9.7691,33.2004,9.58,32.954
"40",1985.8946,11.0207,33.4838,9.58,32.954
"41",1986.0772,10.2885,33.3645,9.58,32.954
"42",1986.4081,9.2824,33.2585,9.58,32.954
"43",1986.7082,8.6027,33.4872,9.58,32.954
"44",1986.8805,10.4823,33.5972,9.58,32.954
"45",1986.8941,9.5814,33.1657,9.58,32.954
"46",1987.0963,9.5962,33.1145,9.58,32.954
"47",1987.3811,9.7219,33.1738,9.58,32.954
"48",1987.6772,7.8063,32.8401,9.58,32.954
"49",1987.9062,8.0296,32.7506,9.58,32.954
"50",1988.8593,8.6584,32.6414,9.58,32.954
"51",1988.9309,8.5335,32.5696,9.58,32.954
"52",1989.04,7.8121,32.6966,9.58,32.954
"53",1989.8619,9.6906,32.5827,9.58,32.954
"54",1989.9422,7.5489,32.6488,9.58,32.954
"55",1990.0227,7.0304,32.9021,9.58,32.954
"56",1990.1591,8.6938,33.0492,9.58,32.954
"57",1990.3315,9.5133,33.2484,9.58,32.954
"58",1990.3693,9.6495,33.4401,9.58,32.954
"59",1990.7652,10.559,33.9253,9.58,32.954
"60",1990.8449,9.6352,32.9007,9.58,32.954
"61",1990.9312,9.1612,33.0926,9.58,32.954
"62",1991.0261,10.3045,33.056,9.58,32.954
"63",1991.1202,9.896,33.0679,9.58,32.954
"64",1991.2431,10.51,33.3337,9.58,32.954
"65",1991.7608,9.49,33.2399,9.58,32.954
"66",1991.7609,9.4381,32.503,9.58,32.954
"67",1991.8604,8.8653,32.4922,9.58,32.954
"68",1991.942,9.4197,32.6249,9.58,32.954
"69",1992.0332,9.6107,32.7444,9.58,32.954
"70",1992.0954,8.7369,32.8143,9.58,32.954
"71",1992.1751,9.8149,33.1596,9.58,32.954
"72",1992.246,9.8405,33.2119,9.58,32.954
"73",1992.4027,7.0156,32.3903,9.58,32.954
"74",1992.495,8.2138,32.5543,9.58,32.954
"75",1992.6318,8.5117,33.0777,9.58,32.954
"76",1992.775,9.9154,32.7166,9.58,32.954
"77",1992.8366,9.3174,32.8423,9.58,32.954
"78",1992.9422,9.3081,32.8929,9.58,32.954
"79",1993.0317,8.9638,32.7299,9.58,32.954
"80",1993.154,10.7163,33.9929,9.58,32.954
"81",1993.271,9.2013,32.9037,9.58,32.954
"82",1993.3969,8.2155,32.6612,9.58,32.954
"83",1993.4927,11.2516,35.2082,9.58,32.954
"84",1993.6238,8.7017,32.7284,9.58,32.954
"85",1993.7494,9.3642,33.283,9.58,32.954
"86",1993.8523,9.6684,32.8985,9.58,32.954
"87",1993.9294,10.1927,32.929,9.58,32.954
"88",1994.0332,9.4234,32.9675,9.58,32.954
"89",1994.1405,9.8576,33.3048,9.58,32.954
"90",1994.2713,10.1125,33.2395,9.58,32.954
"91",1994.3762,11.8701,33.8941,9.58,32.954
"92",1994.3815,9.6341,32.9512,9.58,32.954
"93",1994.4314,10.1043,32.718,9.58,32.954
"94",1994.4835,10.8657,33.0264,9.58,32.954
"95",1994.5274,8.9805,33.3268,9.58,32.954
"96",1994.6314,11.2168,32.9197,9.58,32.954
"97",1994.7761,9.8791,33.4686,9.58,32.954
"98",1994.8709,10.4733,32.8603,9.58,32.954
"99",1995.0405,10.8802,33.2807,9.58,32.954
"100",1995.0747,10.3871,33.0209,9.58,32.954
"101",1995.1205,9.8848,33.2247,9.58,32.954
"102",1995.1575,9.9911,33.3212,9.58,32.954
"103",1995.2055,9.8316,33.258,9.58,32.954
"104",1995.2762,11.5499,33.7704,9.58,32.954
"105",1995.2922,9.4677,32.993,9.58,32.954
"106",1995.3653,9.6095,33.0709,9.58,32.954
"107",1995.3658,10.5893,33.5618,9.58,32.954
"108",1995.3887,11.146,33.7817,9.58,32.954
"109",1995.4366,9.5891,33.1206,9.58,32.954
"110",1995.4714,9.5655,32.8067,9.58,32.954
"111",1995.5323,9.3065,32.8098,9.58,32.954
"112",1995.5479,10.9278,32.7239,9.58,32.954
"113",1995.583,9.1485,32.8886,9.58,32.954
"114",1995.7544,11.7375,33.9025,9.58,32.954
"115",1996.0372,7.7845,32.5985,9.58,32.954
"116",1996.1288,8.4984,32.8321,9.58,32.954
"117",1996.1538,9.5299,33.1239,9.58,32.954
"118",1996.2139,8.4889,32.7801,9.58,32.954
"119",1996.2842,8.5812,32.5534,9.58,32.954
"120",1996.301,9.3441,32.9529,9.58,32.954
"121",1996.3622,8.8143,32.5069,9.58,32.954
"122",1996.4014,8.772,32.5178,9.58,32.954
"123",1996.4349,8.8119,32.5779,9.58,32.954
"124",1996.4371,8.2182,32.4282,9.58,32.954
"125",1996.4713,8.9605,32.6425,9.58,32.954
"126",1996.6447,7.4759,32.4515,9.58,32.954
"127",1996.666,9.1341,32.403,9.58,32.954
"128",1996.7801,7.5227,32.63,9.58,32.954
"129",1996.8656,7.2736,32.2966,9.58,32.954
"130",1997.0429,10.7286,32.9295,9.58,32.954
"131",1997.126,8.6079,32.0955,9.58,32.954
"132",1997.1529,9.8829,32.6377,9.58,32.954
"133",1997.2165,8.9351,32.2506,9.58,32.954
"134",1997.2469,10.3261,32.8689,9.58,32.954
"135",1997.2723,8.5681,32.2456,9.58,32.954
"136",1997.3129,8.9034,32.3841,9.58,32.954
"137",1997.3742,8.7484,32.5898,9.58,32.954
"138",1997.3906,8.6014,32.5019,9.58,32.954
"139",1997.4723,9.8719,32.7541,9.58,32.954
"140",1997.5224,10.9386,34.6995,9.58,32.954
"141",1997.6139,11.5236,33.2446,9.58,32.954
"142",1997.7895,9.6508,32.9823,9.58,32.954
"143",1998.0298,9.7685,32.7159,9.58,32.954
"144",1998.1134,8.2821,32.2722,9.58,32.954
"145",1998.151,8.8375,32.6571,9.58,32.954
"146",1998.2127,8.9063,32.2653,9.58,32.954
"147",1998.2375,9.2667,32.2473,9.58,32.954
"148",1998.2974,9.3917,32.2022,9.58,32.954
"149",1998.3726,9.2176,32.127,9.58,32.954
"150",1998.4223,9.5877,32.8586,9.58,32.954
"151",1998.4662,9.0016,32.2515,9.58,32.954
"152",1998.6042,8.9607,32.1735,9.58,32.954
"153",1998.6462,9.7833,32.9413,9.58,32.954
"154",1998.81,8.2709,32.3481,9.58,32.954
"155",1998.8668,9.0264,32.3691,9.58,32.954
"156",1999.0438,10.4698,32.6454,9.58,32.954
"157",1999.1242,10.7071,32.7766,9.58,32.954
"158",1999.1452,11.1861,33.0311,9.58,32.954
"159",1999.1982,9.5486,32.636,9.58,32.954
"160",1999.2598,9.7313,32.5871,9.58,32.954
"161",1999.2641,9.7522,32.683,9.58,32.954
"162",1999.2998,9.7409,32.6656,9.58,32.954
"163",1999.3886,10.1509,33.0014,9.58,32.954
"164",1999.4256,11.3339,33.4054,9.58,32.954
"165",1999.4609,10.6895,33.1713,9.58,32.954
"166",1999.5203,10.8304,33.0177,9.58,32.954
"167",1999.5876,11.444,33.6061,9.58,32.954
"168",1999.6491,11.376,33.4509,9.58,32.954
"169",1999.7837,11.6713,34.0235,9.58,32.954
"170",1999.8757,11.9792,33.8062,9.58,32.954
"171",2000.1644,13.3663,34.4176,9.58,32.954
