"","Year Day","ShW T","ShW T anom","ShW S","ShW S anom","ShW Vol","ShW Vol anom","Year"
"1",232,13.02,-0.66,33.12,0.45,1920.84,-146.732,1977.635
"2",300,13.65,-0.94,32.95,0.04,1315.353,-393.813,1977.823
"3",341,10.88,-0.66,33.1,0.09,1047.112,-951.442,1977.934
"4",62,3.49,-1.64,32.73,-0.16,1983.868,-219.794,1978.17
"5",132,5.94,-1.5,32.49,-0.16,2482.395,384.911,1978.36
"6",187,10.16,-0.78,32.42,-0.17,1838.729,-459.347,1978.513
"7",234,12.95,-0.86,32.64,-0.04,1988.706,-55.82,1978.642
"8",292,14.09,-0.78,32.84,-0.05,1661.244,-33.325,1978.801
"9",66,4.14,-0.96,33.06,0.18,2079.261,-106.272,1979.18
"10",136,7.24,-0.49,32.78,0.14,1955.642,-161.492,1979.373
"11",189,10.83,-0.21,32.61,0.02,1488.693,-808.823,1979.517
"12",234,13.56,-0.21,32.96,0.28,1745.305,-305.848,1979.64
"13",289,14.15,-0.8,33.01,0.13,1539.557,-154.378,1979.793
"14",349,10.43,-0.25,33.14,0.12,1261.446,-814.101,1979.957
"15",68,4.15,-0.95,33.37,0.5,1989.957,-184.608,1980.186
"16",75,4,-1.13,33.34,0.49,2084.29,-56.127,1980.205
"17",118,6.58,-0.09,33.19,0.5,1898.653,-159.316,1980.323
"18",157,9.07,0.03,33.13,0.53,1824.601,-394.162,1980.431
"19",208,11.94,-0.33,33.09,0.48,2012.926,-228.831,1980.57
"20",283,14.65,-0.41,33.31,0.46,1011.758,-689.922,1980.775
"21",342,8.97,-2.49,33.33,0.32,1237.475,-767.872,1980.936
"22",75,4.67,-0.46,33.34,0.49,1991.737,-145.205,1981.207
"23",162,9.47,0.11,32.89,0.3,1791.724,-449.844,1981.445
"24",73,3.93,-1.18,32.57,-0.29,2072.695,-78.32,1982.199
"25",146,7.69,-0.62,32.66,0.04,2209.019,47.26,1982.399
"26",346,11.7,0.68,33.11,0.1,1829.824,-215.996,1982.948
"27",40,7.06,1.22,33.23,0.27,2141.625,-148.244,1983.109
"28",159,9.5,0.37,32.7,0.1,2257.488,31.988,1983.435
"29",335,11.8,-0.3,32.78,-0.22,2244.033,299.685,1983.918
"30",28,5.99,-0.57,32.63,-0.36,2124.608,-177.499,1984.077
"31",139,7.67,-0.24,32.46,-0.17,2278.398,148.125,1984.381
"32",319,14.18,0.73,33.07,0.1,1202.709,-608.321,1984.875
