"","Year","T","S","Annual Avg T","Annual Avg S"
"86",2001.0964,10.2166,"33.545099999999998",10.6887,33.3178
"87",2001.1924,10.7357,"33.11",10.6887,33.3178
"88",2001.3876,9.925,"32.806699999999999",10.6887,33.3178
"89",2001.5204,9.1929,"33.492600000000003",10.6887,33.3178
"90",2001.702,10.3591,"33.338299999999997",10.6887,33.3178
"91",2001.8361,10.8197,"33.892600000000002",10.6887,33.3178
"92",2002.128,13.2514,"34.178400000000003",10.6887,33.3178
"93",2002.2157,12.7476,"33.718600000000002",10.6887,33.3178
"94",2002.3967,13.0183,"33.755499999999998",10.6887,33.3178
"95",2002.5599,11.2096,"33.8065",10.6887,33.3178
"96",2002.626,13.339,"33.741999999999997",10.6887,33.3178
"97",2002.7021,11.5623,"33.338000000000001",10.6887,33.3178
"98",2002.834,10.8995,"33.460299999999997",10.6887,33.3178
"99",2003.1284,10.5711,"34.213999999999999",10.6887,33.3178
"100",2003.2066,9.588,"33.3568",10.6887,33.3178
"101",2003.5929,8.525,"33.877099999999999",10.6887,33.3178
"102",2003.7349,10.0993,"33.182699999999997",10.6887,33.3178
"103",2004.1214,9.9478,"33.858800000000002",10.6887,33.3178
"104",2004.2012,9.4833,"33.312800000000003",10.6887,33.3178
"105",2004.4059,8.8687,"33.304299999999998",10.6887,33.3178
"106",2004.5328,7.3781,"33.305700000000002",10.6887,33.3178
"107",2004.6358,10.9577,"32.915199999999999",10.6887,33.3178
"108",2004.7183,10.1252,"32.690300000000001",10.6887,33.3178
"109",2004.8468,10.5043,"33.190100000000001",10.6887,33.3178
"110",2005.1191,9.7836,"32.911200000000001",10.6887,33.3178
"111",2005.2006,10.1415,"32.739100000000001",10.6887,33.3178
"112",2005.4004,10.5163,"31.9315",10.6887,33.3178
"113",2005.5466,10.4559,"33.074800000000003",10.6887,33.3178
"114",2005.7161,9.6042,"32.8371",10.6887,33.3178
"115",2005.8554,10.6031,"33.0167",10.6887,33.3178
"116",2006.1196,12.8185,"33.546599999999998",10.6887,33.3178
"117",2006.1989,11.9892,"33.312399999999997",10.6887,33.3178
"118",2006.4238,12.7773,"33.782200000000003",10.6887,33.3178
"119",2006.5469,12.7262,"34.214500000000001",10.6887,33.3178
"120",2006.6335,11.7006,"33.552599999999998",10.6887,33.3178
"121",2006.7006,12.303,"32.8996",10.6887,33.3178
"122",2007.0578,14.4393,"33.827599999999997",10.6887,33.3178
"123",2007.1224,12.4077,"34.111800000000002",10.6887,33.3178
"124",2007.2025,10.8991,"33.544400000000003",10.6887,33.3178
"125",2007.3992,11.1701,"33.408999999999999",10.6887,33.3178
"126",2007.5404,9.1626,"33.497599999999998",10.6887,33.3178
"127",2007.6324,10.7821,"33.366",10.6887,33.3178
"128",2007.7222,10.2566,"33.232399999999998",10.6887,33.3178
"129",2007.8421,10.9598,"33.060200000000002",10.6887,33.3178
"130",2008.0385,10.7297,"33.076999999999998",10.6887,33.3178
"131",2008.2102,12.213,"32.094200000000001",10.6887,33.3178
"132",2008.2147,12.4626,"32.932699999999997",10.6887,33.3178
"133",2008.4952,11.046,"33.774900000000002",10.6887,33.3178
"134",2008.6292,11.6838,"33.831899999999997",10.6887,33.3178
"135",2008.7001,10.493,"33.341099999999997",10.6887,33.3178
"136",2008.8399,9.7676,"33.440100000000001",10.6887,33.3178
"137",2009.05,11.6829,"34.031199999999998",10.6887,33.3178
"138",2009.0887,10.0276,"33.397199999999998",10.6887,33.3178
"139",2009.1981,10.6392,"33.404000000000003",10.6887,33.3178
"140",2009.3764,9.8875,"33.708300000000001",10.6887,33.3178
"141",2009.4142,11.1854,"33.036999999999999",10.6887,33.3178
"142",2009.638,10.0007,"33.259399999999999",10.6887,33.3178
"143",2009.7239,12.059,"33.417900000000003",10.6887,33.3178
"144",2009.8523,10.5731,"33.462200000000003",10.6887,33.3178
"145",2010.1022,9.3866,"33.390900000000002",10.6887,33.3178
"146",2010.1879,9.6363,"33.183500000000002",10.6887,33.3178
"147",2010.3733,8.4081,"33.120100000000001",10.6887,33.3178
"148",2010.4101,10.3112,"32.396099999999997",10.6887,33.3178
"149",2010.7136,10.4465,"33.361199999999997",10.6887,33.3178
"150",2010.8556,9.9377,"33.212899999999998",10.6887,33.3178
"151",2011.0426,9.6911,"33.695500000000003",10.6887,33.3178
"152",2011.0968,8.8239,"32.902099999999997",10.6887,33.3178
"153",2011.192,10.9188,"33.243200000000002",10.6887,33.3178
"154",2011.3687,8.3475,"32.804099999999998",10.6887,33.3178
"155",2011.4299,11.0804,"33.163600000000002",10.6887,33.3178
"156",2011.7161,9.9489,"32.963799999999999",10.6887,33.3178
"157",2011.854,10.0239,"32.811",10.6887,33.3178
"158",2012.1272,12.6268,"33.3095",10.6887,33.3178
"159",2012.1964,13.6861,"33.531199999999998",10.6887,33.3178
"160",2012.4259,13.2949,"33.335299999999997",10.6887,33.3178
"161",2012.6139,12.4698,"33.895899999999997",10.6887,33.3178
"162",2012.715,10.2078,"33.929200000000002",10.6887,33.3178
"163",2013.1195,11.2333,"33.722499999999997",10.6887,33.3178
"164",2013.2245,11.7218,"33.869399999999999",10.6887,33.3178
"165",2013.4705,11.9042,"33.518700000000003",10.6887,33.3178
"166",2013.7079,8.6334,"33.697000000000003",10.6887,33.3178
"167",2014.2257,10.3355,"33.670299999999997",10.6887,33.3178
"168",2014.7231,12.1092,"33.772399999999998",10.6887,33.3178
"169",2014.8773,11.4336,"34.195",10.6887,33.3178
"170",2015.2227,10.465,"34.1098",10.6887,33.3178
"171",2015.389,10.1071,"33.592399999999998",10.6887,33.3178
"172",2015.6886,11.3858,"33.884099999999997",10.6887,33.3178
"173",2016.2886,13.0988,"33.614600000000003",10.6887,33.3178
"174",2016.398,12.6001,"33.602200000000003",10.6887,33.3178
"175",2016.6118,12.0082,"33.5199",10.6887,33.3178
"176",2016.7116,11.9709,"33.498600000000003",10.6887,33.3178
"177",2017.214,11.6061,"33.701099999999997",10.6887,33.3178
"178",2017.3803,11.0963,"33.276800000000001",10.6887,33.3178
"179",2017.8527,12.7514,"32.736400000000003",10.6887,33.3178
"180",2018.233,11.3032,"33.487699999999997",10.6887,33.3178
"181",2018.6586,9.6316,"33.055300000000003",10.6887,33.3178
"182",2018.6956,10.9463,"33.182200000000002",10.6887,33.3178
"183",2018.85,10.4481,"33.518099999999997",10.6887,33.3178
"184",2019.2148,11.6463,"33.106499999999997",10.6887,33.3178
"185",2019.6263,10.8592,"33.380899999999997",10.6887,33.3178
"186",2019.7079,12.3545,"33.109099999999998",10.6887,33.3178
"187",2019.802,12.1129,"33.720700000000001",10.6887,33.3178
"188",2020.1917,13.1831,"33.485300000000002",10.6887,33.3178
"189",2021.2199,12.0202,"33.457900000000002",10.6887,33.3178
"190",2021.7141,11.5295,"34.001800000000003",10.6887,33.3178
"191",2021.798,11.6136,"33.533999999999999",10.6887,33.3178
