"","Year","T","S","Annual Avg T","Annual Avg S"
"1",1977.6052,5.7495,"33.839700000000001",6.6512,33.4072
"2",1977.8402,6.0862,"33.609900000000003",6.6512,33.4072
"3",1977.8731,6.1029,"33.621899999999997",6.6512,33.4072
"4",1978.2011,6.4337,"33.786000000000001",6.6512,33.4072
"5",1978.377,6.3,"33.511000000000003",6.6512,33.4072
"6",1978.529,6.2303,"33.601700000000001",6.6512,33.4072
"7",1978.6698,5.8964,"33.856000000000002",6.6512,33.4072
"8",1978.7887,5.8947,"33.689799999999998",6.6512,33.4072
"9",1978.8946,6.6044,"33.292099999999998",6.6512,33.4072
"10",1979.3987,5.9423,"33.493099999999998",6.6512,33.4072
"11",1979.6631,6.1426,"33.547499999999999",6.6512,33.4072
"12",1979.8185,6.1963,"33.707999999999998",6.6512,33.4072
"13",1980.1594,5.5916,"33.601799999999997",6.6512,33.4072
"14",1980.3505,5.8234,"33.580500000000001",6.6512,33.4072
"15",1980.5983,5.9928,"33.5274",6.6512,33.4072
"16",1980.817,5.9986,"33.224499999999999",6.6512,33.4072
"17",1981.1565,5.0665,"33.454799999999999",6.6512,33.4072
"18",1981.4043,5.8408,"33.252899999999997",6.6512,33.4072
"19",1982.4303,6.4732,"33.578000000000003",6.6512,33.4072
"20",1982.9248,6.6788,"33.486400000000003",6.6512,33.4072
"21",1983.0813,6.2866,"33.349200000000003",6.6512,33.4072
"22",1984.0366,6.2392,"33.097000000000001",6.6512,33.4072
"23",1984.4173,6.8923,"33.302100000000003",6.6512,33.4072
"24",1985.7202,6.7908,"33.370699999999999",6.6512,33.4072
"25",1985.9374,7.061,"33.336799999999997",6.6512,33.4072
"26",1986.4262,6.6771,"33.409399999999998",6.6512,33.4072
"27",1986.9388,6.6933,"33.310099999999998",6.6512,33.4072
"28",1987.4099,5.5526,"33.057000000000002",6.6512,33.4072
"29",1987.7077,5.6743,"33.178400000000003",6.6512,33.4072
"30",1991.2771,6.4828,"33.447699999999998",6.6512,33.4072
"31",1991.7948,6.6133,"33.265599999999999",6.6512,33.4072
"32",1992.2792,6.4025,"33.344999999999999",6.6512,33.4072
"33",1992.8085,6.0328,"33.140300000000003",6.6512,33.4072
"34",1993.3061,5.4618,"32.967599999999997",6.6512,33.4072
"35",1993.5697,5.9411,"33.1218",6.6512,33.4072
"36",1993.7868,6.1214,"33.1355",6.6512,33.4072
"37",1994.3009,6.4989,"33.560600000000001",6.6512,33.4072
"38",1994.8021,7.7159,"33.553100000000001",6.6512,33.4072
"39",1995.0387,7.3939,"33.476900000000001",6.6512,33.4072
"40",1995.3068,6.9185,"33.338000000000001",6.6512,33.4072
"41",1995.6395,7.1286,"32.6997",6.6512,33.4072
"42",1995.7947,7.2939,"33.246899999999997",6.6512,33.4072
"43",1996.3115,7.046,"33.354399999999998",6.6512,33.4072
"44",1996.8117,7.1794,"33.218000000000004",6.6512,33.4072
"45",1996.8652,7.0751,"33.363300000000002",6.6512,33.4072
"46",1997.2838,6.9326,"33.269300000000001",6.6512,33.4072
"47",1997.5972,6.3365,"33.241799999999998",6.6512,33.4072
"48",1997.8102,6.9467,"33.222299999999997",6.6512,33.4072
"49",1998.2832,6.9071,"33.054600000000001",6.6512,33.4072
"50",1998.4391,7.109,"32.884700000000002",6.6512,33.4072
"51",1998.6615,5.8107,"33.205300000000001",6.6512,33.4072
"52",1998.8344,6.2092,"33.1096",6.6512,33.4072
"53",1998.8796,6.1431,"33.138199999999998",6.6512,33.4072
"54",1999.066,5.9575,"33.216200000000001",6.6512,33.4072
"55",1999.2935,6.3588,"33.361699999999999",6.6512,33.4072
"56",1999.4387,6.6171,"33.4116",6.6512,33.4072
"57",1999.6623,6.4287,"33.338700000000003",6.6512,33.4072
"58",1999.8444,6.9212,"33.4482",6.6512,33.4072
"59",1999.8872,6.699,"33.4101",6.6512,33.4072
"60",2000.3171,7.1272,"33.503599999999999",6.6512,33.4072
"61",2000.4321,7.2238,"33.199599999999997",6.6512,33.4072
