"","Species","Region","Time","Value","Metric","T_mean","T_min","T_peak","cumulative_intensity_degrees_C","GLORYS_bottom_temp_anomaly_degreesC","long_term_sst_degreesC","spring_OI_SST_Anomaly_degreesC","winter_OI_SST_Anomaly_degreesC","spring_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","spring_OI_SST_Anomaly_Black_sea_bass_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_south_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_spring_degreesC"
"1","Black sea bass","Mid",1993,19965,"Recruitment",7.55704952837354,4.17349366126799,7.20437119288511,35.2508,-0.818007931,11.66042,-0.491906045929669,-0.824448874174903,-0.165075780869213,-0.532251983844301,-0.705796085175685,-1.30886968381477,-0.989851417721339
"2","Black sea bass","Mid",1994,28660,"Recruitment",7.20861119157167,4.1513369424116,7.14130978485123,24.1374,-0.062321409,11.88385,0.322229446263924,-1.15654323029647,0.171730229801046,0.319345576803331,-1.04481661420513,-1.34850604742063,-1.20381273840929
"3","Black sea bass","Mid",1995,36892,"Recruitment",8.09786826833125,5.89109990987163,7.8942707581358,69.2538,0.570108581,12.06583,-0.155702511306407,0.37064099135663,-0.4729424734692,-0.24143894207292,0.675382624501768,0.130263280314628,0.41553603115756
"4","Black sea bass","Mid",1996,26613,"Recruitment",7.74588032071451,4.42951269659975,7.19930594759821,14.2512,-1.453431234,10.96677,-0.725536238943622,-1.46693685233918,-0.403225979807777,-0.717435709033545,-1.02785129047186,-1.86399410789266,-1.40926465111621
"5","Black sea bass","Mid",1999,37237,"Recruitment",8.21574517035225,5.8470719143957,8.46719245469711,95.5077,1.237862138,12.84594,-0.00452243724564383,0.0708933720602341,0.685833181938484,0.0123682620207806,0.210331913958425,-0.366900010654822,-0.06292879525998
"6","Black sea bass","Mid",2000,46765,"Recruitment",8.33622670615634,5.5510153874924,8.41654160160912,82.2405,0.549581083,12.56635,0.416048879317126,1.03147659059403,0.557643555578498,0.462358209451331,0.865751156545516,1.15021661798596,0.952439988336881
"7","Black sea bass","Mid",2001,27538,"Recruitment",7.70385794771993,5.24094835544498,7.64507368337314,51.1932,0.276622289,12.32448,0.088277829579086,-0.696080929205745,0.465704188042716,0.0475066636093029,-0.802102847606088,-0.814741754162593,-0.839520903712183
"8","Black sea bass","Mid",2002,31597,"Recruitment",8.66174074878159,7.03307457322961,8.69826022873623,206.1264,1.298862795,12.72396,0.619441320814952,1.66877719667329,0.45603265844346,0.53656632136733,1.45548647558631,1.7663945493955,1.55322095558234
"9","Black sea bass","Mid",2003,19697,"Recruitment",7.61798853213137,5.12027748322826,7.50659507868178,9.1207,-0.68143186,11.47135,-1.50336828193469,-0.500552178291149,-1.10833304340168,-1.51598335702087,-0.363303340402778,-0.472506068724174,-0.441058182815726
"10","Black sea bass","Mid",2004,15713,"Recruitment",7.07347257698344,4.06602574208483,6.82310876605741,25.8242,-1.410899092,11.76854,-0.0222341955501264,-1.03851176723108,-0.316863670219451,-0.148970187583931,-1.09598315533302,-1.23295848860726,-1.18533921247311
