"","Species","Region","Indicator","norm_rank","total_risk","stock","label"
"1","Atlantic herring","Northwestern Atlantic Coast","bbmsy",0.565217391304348,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"2","Atlantic herring","Northwestern Atlantic Coast","ffmsy",0.75,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"3","Atlantic herring","Northwestern Atlantic Coast","asmt_catch",0.5,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"4","Atlantic herring","Northwestern Atlantic Coast","recruitment",0.5,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"5","Atlantic herring","Northwestern Atlantic Coast","abundance",0.5,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"6","Atlantic herring","Northwestern Atlantic Coast","biomass_fall",0.235294117647059,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"7","Atlantic herring","Northwestern Atlantic Coast","biomass_spring",0.196078431372549,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"8","Atlantic herring","Northwestern Atlantic Coast","avg_length_fall",0.490196078431373,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"9","Atlantic herring","Northwestern Atlantic Coast","avg_length_spring",0.156862745098039,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"10","Atlantic herring","Northwestern Atlantic Coast","max_length_fall",0.607843137254902,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"11","Atlantic herring","Northwestern Atlantic Coast","max_length_spring",0.215686274509804,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"12","Atlantic herring","Northwestern Atlantic Coast","diet",0.272727272727273,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"13","Atlantic herring","Northwestern Atlantic Coast","rec_catch",0.612903225806452,5.6028086741518,"Atlantic herring - Northwestern Atlantic Coast","Atlantic herring, 5.6"
"14","American plaice","Gulf of Maine / Georges Bank","bbmsy",0.347826086956522,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"15","American plaice","Gulf of Maine / Georges Bank","ffmsy",0.6,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"16","American plaice","Gulf of Maine / Georges Bank","asmt_catch",0.558823529411765,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"17","American plaice","Gulf of Maine / Georges Bank","recruitment",0.714285714285714,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"18","American plaice","Gulf of Maine / Georges Bank","abundance",0.714285714285714,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"19","American plaice","Gulf of Maine / Georges Bank","biomass_fall",0.607843137254902,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"20","American plaice","Gulf of Maine / Georges Bank","biomass_spring",0.588235294117647,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"21","American plaice","Gulf of Maine / Georges Bank","avg_length_fall",0.764705882352941,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"22","American plaice","Gulf of Maine / Georges Bank","avg_length_spring",0.509803921568627,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"23","American plaice","Gulf of Maine / Georges Bank","max_length_fall",0.784313725490196,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"24","American plaice","Gulf of Maine / Georges Bank","max_length_spring",0.607843137254902,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"25","American plaice","Gulf of Maine / Georges Bank","diet",0.545454545454545,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"26","American plaice","Gulf of Maine / Georges Bank","rec_catch",0.5,7.84342068843348,"American plaice - Gulf of Maine / Georges Bank","American plaice, 7.84"
"27","Atlantic wolffish","Gulf of Maine / Georges Bank","bbmsy",0.739130434782609,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"28","Atlantic wolffish","Gulf of Maine / Georges Bank","ffmsy",0.05,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"29","Atlantic wolffish","Gulf of Maine / Georges Bank","asmt_catch",0.0588235294117647,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"30","Atlantic wolffish","Gulf of Maine / Georges Bank","recruitment",0.642857142857143,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"31","Atlantic wolffish","Gulf of Maine / Georges Bank","abundance",0.642857142857143,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"32","Atlantic wolffish","Gulf of Maine / Georges Bank","biomass_fall",0.941176470588235,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"33","Atlantic wolffish","Gulf of Maine / Georges Bank","biomass_spring",0.941176470588235,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"34","Atlantic wolffish","Gulf of Maine / Georges Bank","avg_length_fall",0.745098039215686,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"35","Atlantic wolffish","Gulf of Maine / Georges Bank","avg_length_spring",0.882352941176471,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"36","Atlantic wolffish","Gulf of Maine / Georges Bank","max_length_fall",0.745098039215686,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"37","Atlantic wolffish","Gulf of Maine / Georges Bank","max_length_spring",0.980392156862745,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"38","Atlantic wolffish","Gulf of Maine / Georges Bank","diet",0.909090909090909,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"39","Atlantic wolffish","Gulf of Maine / Georges Bank","rec_catch",0.419354838709677,8.69740811535631,"Atlantic wolffish - Gulf of Maine / Georges Bank","Atlantic wolffish, 8.7"
"40","Ocean pout","Northwestern Atlantic Coast","bbmsy",0.956521739130435,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"41","Ocean pout","Northwestern Atlantic Coast","ffmsy",0.35,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"42","Ocean pout","Northwestern Atlantic Coast","asmt_catch",0.5,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"43","Ocean pout","Northwestern Atlantic Coast","recruitment",0.5,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"44","Ocean pout","Northwestern Atlantic Coast","abundance",0.5,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"45","Ocean pout","Northwestern Atlantic Coast","biomass_fall",0.784313725490196,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"46","Ocean pout","Northwestern Atlantic Coast","biomass_spring",0.980392156862745,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"47","Ocean pout","Northwestern Atlantic Coast","avg_length_fall",0.882352941176471,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"48","Ocean pout","Northwestern Atlantic Coast","avg_length_spring",0.901960784313726,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"49","Ocean pout","Northwestern Atlantic Coast","max_length_fall",0.92156862745098,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"50","Ocean pout","Northwestern Atlantic Coast","max_length_spring",0.92156862745098,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"51","Ocean pout","Northwestern Atlantic Coast","diet",0.363636363636364,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"52","Ocean pout","Northwestern Atlantic Coast","rec_catch",0.0645161290322581,8.62683109454415,"Ocean pout - Northwestern Atlantic Coast","Ocean pout, 8.63"
"53","Pollock","Gulf of Maine / Georges Bank","bbmsy",0.130434782608696,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"54","Pollock","Gulf of Maine / Georges Bank","ffmsy",0.15,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"55","Pollock","Gulf of Maine / Georges Bank","asmt_catch",0.823529411764706,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"56","Pollock","Gulf of Maine / Georges Bank","recruitment",0.285714285714286,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"57","Pollock","Gulf of Maine / Georges Bank","abundance",0.285714285714286,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"58","Pollock","Gulf of Maine / Georges Bank","biomass_fall",0.901960784313726,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"59","Pollock","Gulf of Maine / Georges Bank","biomass_spring",0.470588235294118,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"60","Pollock","Gulf of Maine / Georges Bank","avg_length_fall",0.941176470588235,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"61","Pollock","Gulf of Maine / Georges Bank","avg_length_spring",0.745098039215686,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"62","Pollock","Gulf of Maine / Georges Bank","max_length_fall",0.980392156862745,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"63","Pollock","Gulf of Maine / Georges Bank","max_length_spring",0.803921568627451,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"64","Pollock","Gulf of Maine / Georges Bank","diet",0.272727272727273,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"65","Pollock","Gulf of Maine / Georges Bank","rec_catch",0.774193548387097,7.5654508418183,"Pollock - Gulf of Maine / Georges Bank","Pollock, 7.57"
"66","Red hake","Gulf of Maine / Northern Georges Bank","bbmsy",0.0869565217391304,5.26932958826779,"Red hake - Gulf of Maine / Northern Georges Bank","Red hake, 5.27"
"67","Red hake","Gulf of Maine / Northern Georges Bank","ffmsy",0.65,5.26932958826779,"Red hake - Gulf of Maine / Northern Georges Bank","Red hake, 5.27"
