"","Species","Region","Indicator","Year","Value","rank","norm_rank","n_stocks"
"1","Atlantic herring","Northwestern Atlantic Coast","bbmsy","2017",0.749000012874603,13,0.565217391304348,23
"2","American plaice","Gulf of Maine / Georges Bank","bbmsy","2016",0.989000022411346,8,0.347826086956522,23
"3","Atlantic wolffish","Gulf of Maine / Georges Bank","bbmsy","2016",0.404000014066696,17,0.739130434782609,23
"4","Ocean pout","Northwestern Atlantic Coast","bbmsy","2016",0.0450000017881393,22,0.956521739130435,23
"5","Pollock","Gulf of Maine / Georges Bank","bbmsy","2016",1.74300003051758,3,0.130434782608696,23
"6","Red hake","Gulf of Maine / Northern Georges Bank","bbmsy","2016",2.01999998092651,2,0.0869565217391304,23
"7","Red hake","Southern Georges Bank / Mid-Atlantic","bbmsy","2016",0.372999995946884,18,0.782608695652174,23
"8","Silver hake","Gulf of Maine / Northern Georges Bank","bbmsy","2016",3.1029999256134,1,0.0434782608695652,23
"9","Silver hake","Southern Georges Bank / Mid-Atlantic","bbmsy","2016",0.635999977588654,15,0.652173913043478,23
"10","White hake","Gulf of Maine / Georges Bank","bbmsy","2016",0.686999976634979,14,0.608695652173913,23
"11","Windowpane","Gulf of Maine / Georges Bank","bbmsy","2016",0.174999997019768,19,0.826086956521739,23
"12","Windowpane","Southern New England / Mid-Atlantic","bbmsy","2016",1.29999995231628,4,0.173913043478261,23
"13","Winter flounder","Georges Bank","bbmsy","2016",0.518999993801117,16,0.695652173913043,23
"14","Winter flounder","Gulf of Maine","bbmsy","2004",0.839999973773956,12,0.521739130434783,23
"15","Yellowtail flounder","Georges Bank","bbmsy","2011",0.105999998748302,20,0.869565217391304,23
"16","Yellowtail flounder","Southern New England / Mid-Atlantic","bbmsy","2016",0.0820000022649765,21,0.91304347826087,23
"17","Barndoor skate","Georges Bank / Southern New England","bbmsy","2018",1.15299999713898,6,0.260869565217391,23
"18","Clearnose skate","Southern New England / Mid-Atlantic","bbmsy","2018",0.924000024795532,10,0.434782608695652,23
"19","Little skate","Georges Bank / Southern New England","bbmsy","2019",0.865000009536743,11,0.478260869565217,23
"20","Rosette skate","Southern New England / Mid-Atlantic","bbmsy","2018",0.978999972343445,9,0.391304347826087,23
"21","Smooth skate","Gulf of Maine","bbmsy","2018",1,7,0.304347826086957,23
"22","Thorny skate","Gulf of Maine","bbmsy","2018",0.0390000008046627,23,1,23
"23","Winter skate","Georges Bank / Southern New England","bbmsy","2018",1.27600002288818,5,0.217391304347826,23
"24","American plaice","Gulf of Maine / Georges Bank","ffmsy","2016",0.504999995231628,12,0.6,20
"25","Atlantic cod","Eastern Georges Bank","ffmsy","2015",0.455000013113022,11,0.55,20
"26","Atlantic cod","Georges Bank","ffmsy","2011",2.38899993896484,18,0.9,20
"27","Atlantic cod","Gulf of Maine","ffmsy","2010",5.69999980926514,20,1,20
"28","Atlantic halibut","Northwestern Atlantic Coast","ffmsy","2010",0.437999993562698,10,0.5,20
"29","Atlantic herring","Northwestern Atlantic Coast","ffmsy","2017",0.882000029087067,15,0.75,20
"30","Atlantic wolffish","Gulf of Maine / Georges Bank","ffmsy","2016",0.00899999961256981,1,0.05,20
"31","Haddock","Eastern Georges Bank","ffmsy","2016",0.384999990463257,9,0.45,20
"32","Ocean pout","Northwestern Atlantic Coast","ffmsy","2016",0.291000008583069,7,0.35,20
"33","Pollock","Gulf of Maine / Georges Bank","ffmsy","2016",0.137999996542931,3,0.15,20
"34","Red hake","Gulf of Maine / Northern Georges Bank","ffmsy","2016",0.551999986171722,13,0.65,20
"35","Red hake","Southern Georges Bank / Mid-Atlantic","ffmsy","2016",1.35899996757507,17,0.85,20
"36","Silver hake","Gulf of Maine / Northern Georges Bank","ffmsy","2016",0.0540000014007092,2,0.1,20
"37","Silver hake","Southern Georges Bank / Mid-Atlantic","ffmsy","2016",0.171000003814697,4,0.2,20
"38","Windowpane","Gulf of Maine / Georges Bank","ffmsy","2016",0.652999997138977,14,0.7,20
"39","Windowpane","Southern New England / Mid-Atlantic","ffmsy","2016",0.902999997138977,16,0.8,20
"40","Winter flounder","Georges Bank","ffmsy","2016",0.224999994039536,5,0.25,20
"41","Winter flounder","Gulf of Maine","ffmsy","2016",0.374000012874603,8,0.4,20
"42","Yellowtail flounder","Georges Bank","ffmsy","2014",0.242000006139278,6,0.3,20
"43","Yellowtail flounder","Southern New England / Mid-Atlantic","ffmsy","2016",3.20600008964539,19,0.95,20
"44","Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","1942",55892000,34,1,34
"45","American plaice","Gulf of Maine / Georges Bank","asmt_catch","1982",15570,19,0.558823529411765,34
"46","Atlantic cod","Eastern Georges Bank","asmt_catch","1984",10558,15,0.441176470588235,34
"47","Atlantic cod","Georges Bank","asmt_catch","2007",3699,7,0.205882352941176,34
"48","Atlantic cod","Gulf of Maine","asmt_catch","1991",20944,26,0.764705882352941,34
"49","Atlantic mackerel","Gulf of Maine / Cape Hatteras","asmt_catch","1973",432608,33,0.970588235294118,34
"50","Atlantic wolffish","Gulf of Maine / Georges Bank","asmt_catch","1983",1112.40002441406,2,0.0588235294117647,34
"51","Barndoor skate","Georges Bank / Southern New England","asmt_catch","2014",5062,11,0.323529411764706,34
"52","Butterfish","Gulf of Maine / Cape Hatteras","asmt_catch","1993",12185,17,0.5,34
"53","Clearnose skate","Southern New England / Mid-Atlantic","asmt_catch","1994",5012,10,0.294117647058824,34
"54","Goosefish","Gulf of Maine / Northern Georges Bank","asmt_catch","2003",16203,22,0.647058823529412,34
"55","Goosefish","Southern Georges Bank / Mid-Atlantic","asmt_catch","1998",20568,25,0.735294117647059,34
"56","Haddock","Eastern Georges Bank","asmt_catch","1980",13176,18,0.529411764705882,34
"57","Haddock","Georges Bank","asmt_catch","1965",150362,31,0.911764705882353,34
"58","Haddock","Gulf of Maine","asmt_catch","1983",7656,14,0.411764705882353,34
"59","Little skate","Georges Bank / Southern New England","asmt_catch","1993",17889,23,0.676470588235294,34
"60","Pollock","Gulf of Maine / Georges Bank","asmt_catch","1986",25208,28,0.823529411764706,34
"61","Red hake","Gulf of Maine / Northern Georges Bank","asmt_catch","1982",2670.00007629395,5,0.147058823529412,34
"62","Red hake","Southern Georges Bank / Mid-Atlantic","asmt_catch","1966",111790.000915527,30,0.882352941176471,34
"63","Rosette skate","Southern New England / Mid-Atlantic","asmt_catch","1988",1810,4,0.117647058823529,34
"64","Silver hake","Gulf of Maine / Northern Georges Bank","asmt_catch","1964",94459.9990844727,29,0.852941176470588,34
"65","Silver hake","Southern Georges Bank / Mid-Atlantic","asmt_catch","1965",294119.995117188,32,0.941176470588235,34
"66","Smooth skate","Gulf of Maine","asmt_catch","1974",1667,3,0.0882352941176471,34
"67","Thorny skate","Gulf of Maine","asmt_catch","1973",5773,13,0.382352941176471,34
"68","White hake","Gulf of Maine / Georges Bank","asmt_catch","1993",10629,16,0.470588235294118,34
"69","Windowpane","Gulf of Maine / Georges Bank","asmt_catch","1991",3660,6,0.176470588235294,34
"70","Windowpane","Southern New England / Mid-Atlantic","asmt_catch","1990",5318,12,0.352941176470588,34
"71","Winter flounder","Georges Bank","asmt_catch","1983",4203,8,0.235294117647059,34
"72","Winter flounder","Gulf of Maine","asmt_catch","2012",381,1,0.0294117647058824,34
"73","Winter flounder","Southern New England / Mid-Atlantic","asmt_catch","1981",15764,20,0.588235294117647,34
"74","Winter skate","Georges Bank / Southern New England","asmt_catch","1990",18876,24,0.705882352941177,34
"75","Yellowtail flounder","Cape Cod / Gulf of Maine","asmt_catch","1990",4460.00003814697,9,0.264705882352941,34
"76","Yellowtail flounder","Georges Bank","asmt_catch","1969",15944,21,0.617647058823529,34
"77","Yellowtail flounder","Southern New England / Mid-Atlantic","asmt_catch","1983",22211,27,0.794117647058823,34
"78","Acadian redfish","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",1.6774290512658,5,0.357142857142857,14
"79","American plaice","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.500412754874886,10,0.714285714285714,14
"80","Atlantic mackerel","Gulf of Maine / Cape Hatteras","recruitment","mean of last 10 years vs historic mean",0.230182846811216,12,0.857142857142857,14
"81","Atlantic wolffish","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.551654073274494,9,0.642857142857143,14
"82","Butterfish","Gulf of Maine / Cape Hatteras","recruitment","mean of last 10 years vs historic mean",0.629873613926315,8,0.571428571428571,14
"83","Haddock","Eastern Georges Bank","recruitment","mean of last 10 years vs historic mean",5.66710989185618,3,0.214285714285714,14
"84","Haddock","Georges Bank","recruitment","mean of last 10 years vs historic mean",11.0502355627935,1,0.0714285714285714,14
"85","Haddock","Gulf of Maine","recruitment","mean of last 10 years vs historic mean",8.85363257626663,2,0.142857142857143,14
"86","Pollock","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",1.99126950905938,4,0.285714285714286,14
"87","White hake","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.691078514739229,7,0.5,14
"88","Winter flounder","Georges Bank","recruitment","mean of last 10 years vs historic mean",0.356923284044248,11,0.785714285714286,14
"89","Winter flounder","Southern New England / Mid-Atlantic","recruitment","mean of last 10 years vs historic mean",0.201509388951235,13,0.928571428571429,14
"90","Yellowtail flounder","Cape Cod / Gulf of Maine","recruitment","mean of last 10 years vs historic mean",0.737025953323768,6,0.428571428571429,14
"91","Yellowtail flounder","Southern New England / Mid-Atlantic","recruitment","mean of last 10 years vs historic mean",0.090230576868772,14,1,14
"92","Acadian redfish","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",1.6774290512658,5,0.357142857142857,14
"93","American plaice","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.500412754874886,10,0.714285714285714,14
"94","Atlantic mackerel","Gulf of Maine / Cape Hatteras","abundance","mean of last 10 years vs historic mean",0.230182846811216,12,0.857142857142857,14
"95","Atlantic wolffish","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.551654073274494,9,0.642857142857143,14
"96","Butterfish","Gulf of Maine / Cape Hatteras","abundance","mean of last 10 years vs historic mean",0.629873613926315,8,0.571428571428571,14
"97","Haddock","Eastern Georges Bank","abundance","mean of last 10 years vs historic mean",5.66710989185618,3,0.214285714285714,14
"98","Haddock","Georges Bank","abundance","mean of last 10 years vs historic mean",11.0502355627935,1,0.0714285714285714,14
"99","Haddock","Gulf of Maine","abundance","mean of last 10 years vs historic mean",8.85363257626663,2,0.142857142857143,14
"100","Pollock","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",1.99126950905938,4,0.285714285714286,14
"101","White hake","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.691078514739229,7,0.5,14
"102","Winter flounder","Georges Bank","abundance","mean of last 10 years vs historic mean",0.356923284044248,11,0.785714285714286,14
"103","Winter flounder","Southern New England / Mid-Atlantic","abundance","mean of last 10 years vs historic mean",0.201509388951235,13,0.928571428571429,14
"104","Yellowtail flounder","Cape Cod / Gulf of Maine","abundance","mean of last 10 years vs historic mean",0.737025953323768,6,0.428571428571429,14
"105","Yellowtail flounder","Southern New England / Mid-Atlantic","abundance","mean of last 10 years vs historic mean",0.090230576868772,14,1,14
"106","Silver hake","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",7.84566606314355,1,0.0196078431372549,51
"107","Atlantic cod","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",0.766653482684801,45,0.882352941176471,51
"108","Haddock","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",3.56024203564166,3,0.0588235294117647,51
"109","Red hake","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",2.92142105954878,9,0.176470588235294,51
"110","Yellowtail flounder","Cape Cod / Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.60998662439384,21,0.411764705882353,51
"111","Winter flounder","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.33894789605894,30,0.588235294117647,51
"112","Windowpane","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.776773300693858,44,0.862745098039216,51
"113","Goosefish","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.5008134835651,24,0.470588235294118,51
"114","Haddock","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",3.25450730288513,7,0.137254901960784,51
"115","Yellowtail flounder","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.850403515414748,42,0.823529411764706,51
"116","Goosefish","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.08641516224164,33,0.647058823529412,51
"117","Atlantic cod","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.964175268083056,37,0.725490196078431,51
"118","Winter flounder","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.57665067029958,22,0.431372549019608,51
"119","Silver hake","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",3.28073491246106,6,0.117647058823529,51
"120","Winter flounder","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.44012087286694,25,0.490196078431373,51
"121","Red hake","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.42029963023575,27,0.529411764705882,51
"122","Yellowtail flounder","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",0.631532029410885,47,0.92156862745098,51
"123","Windowpane","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",0.92667798962377,39,0.764705882352941,51
"124","American lobster","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",0.851600100952196,41,0.803921568627451,51
"125","American lobster","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",2.27124973835811,14,0.274509803921569,51
"126","American lobster","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",3.29928364471253,5,0.0980392156862745,51
"127","Jonah crab","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",1.06545201131467,34,0.666666666666667,51
"128","Jonah crab","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.10182507137296,32,0.627450980392157,51
"129","Jonah crab","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.34186787640292,29,0.568627450980392,51
"130","Yellowtail flounder","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.331381088852548,49,0.96078431372549,51
"131","Winter flounder","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.793322657475989,36,0.705882352941177,51
"132","Goosefish","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.06745964102853,31,0.607843137254902,51
"133","Windowpane","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.633969618219504,43,0.843137254901961,51
"134","Silver hake","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.80704327810833,14,0.274509803921569,51
"135","Red hake","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.25995150225692,27,0.529411764705882,51
"136","American lobster","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",0.749378237883383,39,0.764705882352941,51
"137","Jonah crab","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",0.176358652629239,51,1,51
"138","American lobster","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",2.7565328001135,6,0.117647058823529,51
"139","Atlantic cod","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.752870867723124,38,0.745098039215686,51
"140","Haddock","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",3.14452256108666,4,0.0784313725490196,51
"141","Yellowtail flounder","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.72764421167469,40,0.784313725490196,51
"142","Windowpane","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.511444924086282,46,0.901960784313726,51
"143","Winter flounder","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.02343204616938,33,0.647058823529412,51
"144","Atlantic cod","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",0.835727179731995,35,0.686274509803922,51
"145","Haddock","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",4.39939902660694,2,0.0392156862745098,51
"146","Winter flounder","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",1.98410568058919,11,0.215686274509804,51
"147","Goosefish","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.34983556917827,21,0.411764705882353,51
"148","Silver hake","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",7.93433812549879,1,0.0196078431372549,51
"149","Red hake","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",2.54277484218186,8,0.156862745098039,51
"150","Yellowtail flounder","Cape Cod / Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",3.48362898339794,3,0.0588235294117647,51
"151","American lobster","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",3.10199647977983,5,0.0980392156862745,51
"152","Jonah crab","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.76879058830326,37,0.725490196078431,51
"153","Jonah crab","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",1.57419390356899,19,0.372549019607843,51
"154","Silver hake","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.903541408293859,33,0.647058823529412,51
"155","Atlantic cod","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.927015674484883,26,0.509803921568627,51
"156","Haddock","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.70722723945693,49,0.96078431372549,51
"157","Red hake","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.899374274510339,35,0.686274509803922,51
"158","Yellowtail flounder","Cape Cod / Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.911313726498783,30,0.588235294117647,51
"159","Winter flounder","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.867975184938336,41,0.803921568627451,51
"160","Windowpane","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.897809477600275,37,0.725490196078431,51
"161","Goosefish","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.698236436451195,51,1,51
"162","American lobster","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.994491695500046,13,0.254901960784314,51
"163","Haddock","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.699658514788005,50,0.980392156862745,51
"164","Silver hake","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",1.09034625804855,2,0.0392156862745098,51
"165","Yellowtail flounder","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",1.06843778802732,4,0.0784313725490196,51
"166","Goosefish","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.778050605645546,47,0.92156862745098,51
"167","Atlantic cod","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.888418456049928,40,0.784313725490196,51
"168","Winter flounder","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.991252110056232,14,0.274509803921569,51
"169","Winter flounder","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.987677834637957,15,0.294117647058824,51
"170","Red hake","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.978899192215542,16,0.313725490196078,51
"171","Yellowtail flounder","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",1.07388997399193,3,0.0588235294117647,51
"172","Windowpane","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.961187844762976,23,0.450980392156863,51
"173","American lobster","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",0.943313156589327,24,0.470588235294118,51
"174","American lobster","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",1.06714429949033,5,0.0980392156862745,51
"175","Jonah crab","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",1.06689523224225,6,0.117647058823529,51
"176","Jonah crab","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.965718921958623,20,0.392156862745098,51
"177","Jonah crab","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",1.02398548511714,8,0.156862745098039,51
"178","Silver hake","Southern Georges Bank / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.949137071394598,21,0.411764705882353,51
"179","Yellowtail flounder","Southern New England / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",1.01515230573362,11,0.215686274509804,51
"180","Winter flounder","Southern New England / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.979313687638467,15,0.294117647058824,51
"181","Goosefish","Southern Georges Bank / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.904971415773396,30,0.588235294117647,51
"182","Windowpane","Southern New England / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.942601579150942,24,0.470588235294118,51
"183","Red hake","Southern Georges Bank / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.878926766884002,35,0.686274509803922,51
"184","American lobster","Georges Bank / Southern New England","avg_length_spring","mean of last 10 years vs historic mean",0.963747371168774,19,0.372549019607843,51
"185","Jonah crab","Georges Bank / Southern New England","avg_length_spring","mean of last 10 years vs historic mean",0.737818032093893,50,0.980392156862745,51
