"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Black sea bass",2019,"CONNECTICUT",62261,242758,242758
"Black sea bass",2019,"DELAWARE",172738,493616,493616
"Black sea bass",2019,"MARYLAND",369507,1192217,1192217
"Black sea bass",2019,"MASSACHUSETTS",530770,1706695,1706695
"Black sea bass",2019,"NEW JERSEY",719544,2679234,2679234
"Black sea bass",2019,"NEW YORK",296333,1187531,1187531
"Black sea bass",2019,"RHODE ISLAND",397902,1508814,1508814
"Black sea bass",2019,"VIRGINIA",645817,2011166,2011166
"Black sea bass",2018,"CONNECTICUT",37912,172180,175299.473492948
"Black sea bass",2018,"DELAWARE",172180,512794,522084.55227287
"Black sea bass",2018,"MARYLAND",373991,1253816,1276532.02844136
"Black sea bass",2018,"MASSACHUSETTS",481146,1608057,1637190.99457922
"Black sea bass",2018,"NEW JERSEY",700130,2809143,2860037.68652805
"Black sea bass",2018,"NEW YORK",274114,1124546,1144919.97745732
"Black sea bass",2018,"RHODE ISLAND",373940,1433963,1459942.84416522
"Black sea bass",2018,"VIRGINIA",606366,1829361,1862504.47281062
"Black sea bass",2017,"CONNECTICUT",43798,167180,174361.373625851
"Black sea bass",2017,"DELAWARE",117452,277610,289534.997800409
"Black sea bass",2017,"MARYLAND",409594,1235518,1288590.83394822
"Black sea bass",2017,"MASSACHUSETTS",541932,1753153,1828461.33063932
"Black sea bass",2017,"NEW JERSEY",898665,2822622,2943870.37412696
"Black sea bass",2017,"NEW YORK",285122,1052677,1097895.72738569
"Black sea bass",2017,"RHODE ISLAND",457153,1603746,1672636.41289008
"Black sea bass",2017,"VIRGINIA",745087,2074189,2163287.7329802
"Black sea bass",2016,"CONNECTICUT",29236,138217,147236.97825006
"Black sea bass",2016,"DELAWARE",96794,301373,321040.464242136
"Black sea bass",2016,"MARYLAND",271512,896326,954819.825108078
"Black sea bass",2016,"MASSACHUSETTS",354031,1152263,1227459.15675603
"Black sea bass",2016,"NEW JERSEY",525647,1944578,2071480.27154073
"Black sea bass",2016,"NEW YORK",184529,736624,784695.745577405
"Black sea bass",2016,"RHODE ISLAND",294343,1091991,1163253.83358242
"Black sea bass",2016,"VIRGINIA",553491,2071183,2206347.45597787
"Black sea bass",2015,"CONNECTICUT",24591,104243,112445.58798511
"Black sea bass",2015,"DELAWARE",111508,304294,328238.037569343
"Black sea bass",2015,"MARYLAND",236183,791802,854106.668627974
"Black sea bass",2015,"MASSACHUSETTS",347820,988191,1065948.9657492
"Black sea bass",2015,"NEW JERSEY",468248,1762520,1901207.73323404
"Black sea bass",2015,"NEW YORK",151409,561704,605902.905265467
"Black sea bass",2015,"RHODE ISLAND",238647,808797,872438.957297784
"Black sea bass",2015,"VIRGINIA",422333,1606631,1733052.26701174
"Black sea bass",2014,"CONNECTICUT",26957,85235,92053.277892191
"Black sea bass",2014,"MARYLAND",251724,834189,900919.01016729
"Black sea bass",2014,"MASSACHUSETTS",307046,1001671,1081798.54425469
"Black sea bass",2014,"NEW JERSEY",493775,1602810,1731024.98197199
"Black sea bass",2014,"NEW YORK",223677,828281,894538.4063568
"Black sea bass",2014,"RHODE ISLAND",267698,884332,955073.143015863
"Black sea bass",2014,"VIRGINIA",387518,1365361,1474581.51646812
"Black sea bass",2013,"CONNECTICUT",23066,87731,96279.576986436
"Black sea bass",2013,"MARYLAND",234074,709630,778776.90003402
"Black sea bass",2013,"MASSACHUSETTS",328393,1037229,1138297.40180853
"Black sea bass",2013,"NEW JERSEY",421310,1370047,1503545.44700888
"Black sea bass",2013,"NEW YORK",180694,669786,735050.469633733
"Black sea bass",2013,"RHODE ISLAND",265610,988877,1085233.94526012
"Black sea bass",2013,"VIRGINIA",495938,1716415,1883663.81476529
"Black sea bass",2012,"CONNECTICUT",18158,62682,69798.2215595966
"Black sea bass",2012,"MARYLAND",144174,421035,468834.660896984
"Black sea bass",2012,"MASSACHUSETTS",292010,933115,1039050.56492427
"Black sea bass",2012,"NEW JERSEY",310842,1053558,1173167.33208713
"Black sea bass",2012,"NEW YORK",153338,527642,587544.641526254
"Black sea bass",2012,"RHODE ISLAND",204046,735346,818829.058277705
"Black sea bass",2012,"VIRGINIA",392332,1400829,1559863.64361552
"Black sea bass",2011,"CONNECTICUT",20496,73608,83663.9223467587
"Black sea bass",2011,"DELAWARE",85564,196320,223140.16458966
"Black sea bass",2011,"MARYLAND",182223,507440,576763.67725844
"Black sea bass",2011,"MASSACHUSETTS",287662,951177,1081121.5990928
"Black sea bass",2011,"NEW JERSEY",293609,970008,1102525.18731299
"Black sea bass",2011,"NEW YORK",183420,623719,708928.078227883
"Black sea bass",2011,"RHODE ISLAND",211580,734732,835107.067080734
"Black sea bass",2011,"VIRGINIA",274699,1002555,1139518.58043086
"Black sea bass",2010,"CONNECTICUT",21497,82454,96660.8468165175
"Black sea bass",2010,"DELAWARE",79791,189909,222630.372790623
"Black sea bass",2010,"MARYLAND",203088,589856,691488.350593103
"Black sea bass",2010,"MASSACHUSETTS",260178,733743,860167.120160235
"Black sea bass",2010,"NEW JERSEY",305331,995653,1167204.2850002
"Black sea bass",2010,"NEW YORK",201708,617542,723944.655987167
"Black sea bass",2010,"RHODE ISLAND",241886,779001,913223.085974167
"Black sea bass",2010,"VIRGINIA",263563,927975,1087865.34703662
"Black sea bass",2009,"CONNECTICUT",16138,54552,64997.9324679118
"Black sea bass",2009,"DELAWARE",50285,148684,177154.872251411
"Black sea bass",2009,"MARYLAND",125643,450839,537168.259200412
"Black sea bass",2009,"MASSACHUSETTS",148470,431706,514371.561702455
"Black sea bass",2009,"NEW JERSEY",204213,591798,705118.903773377
"Black sea bass",2009,"NEW YORK",124026,428012,509970.213217771
"Black sea bass",2009,"RHODE ISLAND",128084,400202,476834.993575364
"Black sea bass",2009,"VIRGINIA",164564,568839,677763.581667299
"Black sea bass",2008,"CONNECTICUT",15556,43771,51985.4496635955
"Black sea bass",2008,"DELAWARE",60700,155718,184941.405284681
"Black sea bass",2008,"MARYLAND",160471,445445,529041.114559875
"Black sea bass",2008,"MASSACHUSETTS",316719,937923,1113941.85430601
"Black sea bass",2008,"NEW JERSEY",424722,1086240,1290093.32303543
"Black sea bass",2008,"NEW YORK",201934,701810,833517.818382215
"Black sea bass",2008,"RHODE ISLAND",227065,711480,845002.575373076
"Black sea bass",2008,"VIRGINIA",216448,758848,901260.069596768
"Black sea bass",2007,"CONNECTICUT",10123,31707,39094.0264226548
"Black sea bass",2007,"DELAWARE",72675,198128,244287.421297119
"Black sea bass",2007,"MARYLAND",171394,454427,560298.392946912
"Black sea bass",2007,"MASSACHUSETTS",442154,1097325,1352977.34078404
"Black sea bass",2007,"NEW JERSEY",480238,1474245,1817711.32505335
"Black sea bass",2007,"NEW YORK",270417,989374,1219876.15661802
"Black sea bass",2007,"RHODE ISLAND",356574,1087353,1340682.08637692
"Black sea bass",2007,"VIRGINIA",193983,675480,832851.829815966
"Black sea bass",2006,"CONNECTICUT",10445,31762,40286.0005201141
"Black sea bass",2006,"DELAWARE",87381,190468,241584.092534006
"Black sea bass",2006,"MARYLAND",43104,117502,149036.132268574
"Black sea bass",2006,"MASSACHUSETTS",596605,1524695,1933878.96111754
"Black sea bass",2006,"NEW JERSEY",494352,1327173,1683347.77936784
"Black sea bass",2006,"NEW YORK",312305,1037948,1316503.16944309
"Black sea bass",2006,"RHODE ISLAND",273163,873581,1108024.82905238
"Black sea bass",2006,"VIRGINIA",327926,1047720,1328897.69110679
"Black sea bass",2005,"CONNECTICUT",17522,52447,68665.6617544384
"Black sea bass",2005,"DELAWARE",913,2365,3096.35041182998
"Black sea bass",2005,"MARYLAND",330144,705585,923779.45257127
"Black sea bass",2005,"MASSACHUSETTS",510325,1246397,1631831.65507554
"Black sea bass",2005,"NEW JERSEY",545358,1277052,1671966.3789126
"Black sea bass",2005,"NEW YORK",244074,714783,935821.833581001
"Black sea bass",2005,"RHODE ISLAND",294114,937011,1226771.41468889
"Black sea bass",2005,"VIRGINIA",475356,1244217,1628977.51389254
"Black sea bass",2004,"CONNECTICUT",24867,59710,80805.8914773479
"Black sea bass",2004,"DELAWARE",64264,135476,183340.461460144
"Black sea bass",2004,"MARYLAND",277845,559136,756682.012009352
"Black sea bass",2004,"MASSACHUSETTS",382390,729185,986810.316143191
"Black sea bass",2004,"NEW HAMPSHIRE",336,1408,1905.45461731881
"Black sea bass",2004,"NEW JERSEY",704128,1294205,1751455.17969253
"Black sea bass",2004,"NEW YORK",240517,568533,769399.026951784
"Black sea bass",2004,"RHODE ISLAND",435733,1042940,1411416.7887688
