"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2006-2010 mean",0.635999977588654,16,34,6,0.470588235294118,5.56189269608387,3,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.56"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2007-2011 mean",0.635999977588654,21,38,6,0.552631578947368,5.87555816064724,5,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.88"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2008-2012 mean",0.979499965906142,13,38,6,0.342105263157895,5.84959442748016,4,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.85"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2009-2013 mean",1.32299995422363,9,38,6,0.236842105263158,6.06515766073436,5,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.07"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2010-2014 mean",1.32299995422363,11,39,6,0.282051282051282,6.19668318224219,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.2"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2011-2015 mean",1.24649995565414,13,39,6,0.333333333333333,6.43230132962276,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.43"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2012-2016 mean",1.24649995565414,12,39,6,0.307692307692308,6.38363927738928,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.38"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2013-2017 mean",1.31099998950958,13,36,6,0.361111111111111,6.59732787054216,7,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.6"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2014-2018 mean",1.31099998950958,11,34,6,0.323529411764706,6.57119272195682,8,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.57"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2015-2019 mean",1.31099998950958,11,34,6,0.323529411764706,6.09934677644788,10,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.1"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2006-2010 mean",0.174999997019768,1,27,6,0.037037037037037,5.56189269608387,3,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.56"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2007-2011 mean",0.174999997019768,4,32,6,0.125,5.87555816064724,5,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.88"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2008-2012 mean",0.162500001490116,4,32,6,0.125,5.84959442748016,4,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.85"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2009-2013 mean",0.150000005960464,3,34,6,0.0882352941176471,6.06515766073436,5,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.07"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2010-2014 mean",0.150000005960464,4,35,6,0.114285714285714,6.19668318224219,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.2"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2011-2015 mean",0.269999995827674,7,35,6,0.2,6.43230132962276,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.43"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2012-2016 mean",0.269999995827674,6,35,6,0.171428571428571,6.38363927738928,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.38"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2013-2017 mean",0.332499995827674,9,33,6,0.272727272727273,6.59732787054216,7,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.6"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2014-2018 mean",0.332499995827674,8,31,6,0.258064516129032,6.57119272195682,8,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.57"
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2015-2019 mean",0.332499995827674,9,31,6,0.290322580645161,6.09934677644788,10,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1933-1937 mean",9234.6,4,5,6,0.8,0.8,5,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 0.8"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1934-1938 mean",13338.6,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1935-1939 mean",18316,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1936-1940 mean",22158.6,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1937-1941 mean",27685.4,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1938-1942 mean",35899.2,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1939-1943 mean",41440.8,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1940-1944 mean",46447.4,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1941-1945 mean",48677.4,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1942-1946 mean",47002.8,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1943-1947 mean",43856.4,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1944-1948 mean",42913,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1945-1949 mean",38973.8,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1946-1950 mean",38252.8,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1947-1951 mean",35783.6,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1948-1952 mean",32027,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1949-1953 mean",26659,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1950-1954 mean",23108,5,5,6,1,1,6,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 1"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1951-1955 mean",19029.4,5,5,6,1,2.90909090909091,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1952-1956 mean",15891.6,5,5,6,1,2.90909090909091,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1953-1957 mean",15314.2,5,5,6,1,2.90909090909091,23,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1954-1958 mean",15165.4,5,5,6,1,2.90909090909091,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1955-1959 mean",15672,5,5,6,1,2.90909090909091,20,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1956-1960 mean",15164.2,8,8,6,1,2.86363636363636,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.86"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1957-1961 mean",15106.8,8,8,6,1,2.90909090909091,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.91"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1958-1962 mean",14235.6,8,10,6,0.8,2.70909090909091,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.71"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1959-1963 mean",13035.4,8,12,6,0.666666666666667,2.53030303030303,24,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.53"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1960-1964 mean",11601.6,9,13,6,0.692307692307692,2.561872909699,25,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.56"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1961-1965 mean",10937.8,9,14,6,0.642857142857143,2.46894409937888,25,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.47"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1962-1966 mean",9830.8,7,14,6,0.5,2.28260869565217,20,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.28"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1963-1967 mean",9159,7,14,6,0.5,2.28260869565217,22,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 2.28"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1964-1968 mean",8504.8,14,23,6,0.608695652173913,5.06908212560386,36,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.07"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1965-1969 mean",9316.8,14,23,6,0.608695652173913,4.88629221581699,30,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 4.89"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1966-1970 mean",11054.2,14,23,6,0.608695652173913,4.88062927410753,31,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 4.88"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1967-1971 mean",13343.2,16,23,6,0.695652173913043,5.11201298701299,33,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 5.11"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1968-1972 mean",15010.2,17,23,6,0.739130434782609,4.95075421472937,33,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 4.95"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1969-1973 mean",17128,17,23,6,0.739130434782609,6.58198887354135,24,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.58"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1970-1974 mean",16742.6,17,23,6,0.739130434782609,6.57989683693397,23,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.58"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1971-1975 mean",15508.2,19,25,6,0.76,6.47175540829961,21,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.47"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1972-1976 mean",13644.6,19,25,6,0.76,6.64990929705215,24,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.65"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1973-1977 mean",12465.8,19,26,6,0.730769230769231,7.28781484216267,27,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 7.29"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1974-1978 mean",11808.2,21,27,6,0.777777777777778,7.3286924776958,26,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 7.33"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1975-1979 mean",12660.8,21,27,6,0.777777777777778,6.93738546998425,24,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.94"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1976-1980 mean",12526,26,30,6,0.866666666666667,6.86458604718483,23,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.86"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1977-1981 mean",11971.4,26,32,6,0.8125,6.86316969504659,24,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.86"
