"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Acadian redfish",2019,"CONNECTICUT",46,34,34
"Acadian redfish",2019,"MAINE",98966,57415,57415
"Acadian redfish",2019,"MASSACHUSETTS",11626256,6151380,6151380
"Acadian redfish",2019,"NEW HAMPSHIRE",2010,1498,1498
"Acadian redfish",2019,"RHODE ISLAND",506,193,193
"Acadian redfish",2018,"CONNECTICUT",1022,519,528.402989562318
"Acadian redfish",2018,"MAINE",190782,125514,127788.001602938
"Acadian redfish",2018,"MASSACHUSETTS",9706073,4905766,4994646.28226046
"Acadian redfish",2018,"NEW HAMPSHIRE",1876,1829,1862.13693238821
"Acadian redfish",2018,"NEW YORK",2058,2212,2252.0759400999
"Acadian redfish",2018,"RHODE ISLAND",609,476,484.623936477194
"Acadian redfish",2017,"CONNECTICUT",12,11,11.4725153121447
"Acadian redfish",2017,"MAINE",185473,114306,119216.121388183
"Acadian redfish",2017,"MASSACHUSETTS",11182035,6178950,6444372.58981606
"Acadian redfish",2017,"NEW HAMPSHIRE",369,336,350.433194989148
"Acadian redfish",2017,"NEW YORK",6436,8540,8906.84370597418
"Acadian redfish",2017,"RHODE ISLAND",120,81,84.479430934884
"Acadian redfish",2016,"CONNECTICUT",266,403,429.299595815089
"Acadian redfish",2016,"MAINE",209267,158542,168888.378460833
"Acadian redfish",2016,"MASSACHUSETTS",8355270,4893157,5212482.18947835
"Acadian redfish",2016,"NEW HAMPSHIRE",1088,903,961.929367297829
"Acadian redfish",2016,"NEW YORK",6932,9728,10362.8448339682
"Acadian redfish",2016,"RHODE ISLAND",26,17,18.1094122304132
"Acadian redfish",2015,"CONNECTICUT",61,44,47.4622360383415
"Acadian redfish",2015,"MAINE",552056,374233,403680.340439469
"Acadian redfish",2015,"MASSACHUSETTS",10310054,5881975,6344811.04140054
"Acadian redfish",2015,"NEW HAMPSHIRE",3135,2235,2410.86585331121
"Acadian redfish",2015,"NEW YORK",488,629,678.494237911745
"Acadian redfish",2015,"RHODE ISLAND",3127,1623,1750.70929750519
"Acadian redfish",2014,"CONNECTICUT",232,510,550.796875990115
"Acadian redfish",2014,"MAINE",571888,355000,383397.825444099
"Acadian redfish",2014,"MASSACHUSETTS",9504452,5170802,5584434.48620282
"Acadian redfish",2014,"NEW YORK",2002,3552,3836.13824218998
"Acadian redfish",2013,"CONNECTICUT",430,380,417.02749603727
"Acadian redfish",2013,"MAINE",261244,180503,198091.35294004
"Acadian redfish",2013,"MASSACHUSETTS",7535795,4062300,4458133.67671632
"Acadian redfish",2013,"NEW HAMPSHIRE",9106,8529,9360.07240447861
"Acadian redfish",2013,"NEW YORK",11681,19301,21181.7044763562
"Acadian redfish",2013,"RHODE ISLAND",417,222,243.631852948089
"Acadian redfish",2012,"CONNECTICUT",293,307,341.853387237104
"Acadian redfish",2012,"MAINE",1054022,685708,763555.708324365
"Acadian redfish",2012,"MASSACHUSETTS",7421945,4879092,5433010.18515132
"Acadian redfish",2012,"NEW HAMPSHIRE",9038,6713,7475.11983232143
"Acadian redfish",2012,"NEW YORK",7453,9127,10163.1787143747
"Acadian redfish",2012,"RHODE ISLAND",109,98,109.125836968196
"Acadian redfish",2011,"CONNECTICUT",161,177,201.180771864149
"Acadian redfish",2011,"MAINE",123431,96819,110045.88220969
"Acadian redfish",2011,"MASSACHUSETTS",4293746,2636823,2997051.33564487
"Acadian redfish",2011,"NEW HAMPSHIRE",15349,12504,14212.2280869453
"Acadian redfish",2011,"NEW YORK",7440,8507,9669.17980931252
"Acadian redfish",2010,"MAINE",132349,97110,113842.079636549
"Acadian redfish",2010,"MASSACHUSETTS",3468814,1838918,2155764.0758015
"Acadian redfish",2010,"NEW HAMPSHIRE",17981,12363,14493.1482910787
"Acadian redfish",2010,"NEW YORK",8529,10674,12513.1331277986
"Acadian redfish",2010,"RHODE ISLAND",962,576,675.244957992506
"Acadian redfish",2009,"CONNECTICUT",2576,2855,3401.69191222848
"Acadian redfish",2009,"MAINE",155784,106306,126662.087713261
"Acadian redfish",2009,"MASSACHUSETTS",3007985,1416313,1687516.80465291
