"Species","Region","Indicator","category","Year","Value","rank","n_years_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2006-2010 mean",0.635999977588654,9.5,10,6,1,8.008362401555,16
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2007-2011 mean",0.635999977588654,9.5,10,6,1,7.64254217456676,16
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2008-2012 mean",0.979499965906142,8,9,6,0.842105263157895,7.23008566689878,12
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2009-2013 mean",1.32299995422363,1.5,10,6,0.157894736842105,6.94291976059982,8
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2010-2014 mean",1.32299995422363,1.5,10,6,0.157894736842105,6.5969430479404,6
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2011-2015 mean",1.24649995565414,6.5,9.5,6,0.684210526315789,8.08082976175817,26
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2012-2016 mean",1.24649995565414,6.5,10,6,0.684210526315789,8.08632462563962,25
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2013-2017 mean",1.31099998950958,4,9,6,0.421052631578947,8.42692391253184,28
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2014-2018 mean",1.31099998950958,4,10,6,0.421052631578947,8.58252811022589,25
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2015-2019 mean",1.31099998950958,4,10,6,0.421052631578947,8.92258039760987,32
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2006-2010 mean",0.174999997019768,4.5,10,6,0.5,8.008362401555,16
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2007-2011 mean",0.174999997019768,4.5,9.5,6,0.5,7.64254217456676,16
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2008-2012 mean",0.162500001490116,3,9,6,0.333333333333333,7.23008566689878,12
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2009-2013 mean",0.150000005960464,1.5,10,6,0.166666666666667,6.94291976059982,8
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2010-2014 mean",0.150000005960464,1.5,9.5,6,0.166666666666667,6.5969430479404,6
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2011-2015 mean",0.269999995827674,6.5,9.5,6,0.722222222222222,8.08082976175817,26
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2012-2016 mean",0.269999995827674,6.5,9.5,6,0.722222222222222,8.08632462563962,25
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2013-2017 mean",0.332499995827674,9,9.5,6,1,8.42692391253184,28
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2014-2018 mean",0.332499995827674,9,10,6,1,8.58252811022589,25
"Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2015-2019 mean",0.332499995827674,9,10,6,1,8.92258039760987,32
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1914-1918 mean",55.6,13,13,6,0.128712871287129,0.725560956315533,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1915-1919 mean",54.6,12,12,6,0.118811881188119,0.677818661470325,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1916-1920 mean",52.8,11,11,6,0.108910891089109,0.620730572232594,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1917-1921 mean",44.8,10,10,6,0.099009900990099,0.591679866172434,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1918-1922 mean",30.2,6,6,6,0.0594059405940594,0.532926189815243,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1919-1923 mean",17,1,1,6,0.0099009900990099,0.464271523359043,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1920-1924 mean",20,3,3,6,0.0297029702970297,0.464923787595912,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1921-1925 mean",18.8,2,2,6,0.0198019801980198,0.435873081535751,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1922-1926 mean",22.2,4,4,6,0.0396039603960396,0.43652534577262,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1923-1927 mean",26.4,5,5,6,0.0495049504950495,0.417930825517956,1
