"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2006-2010 vs historic mean",0.859459418097582,17,22,6,0.772727272727273,6.62735584308165,11,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.63"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2007-2011 vs historic mean",0.859459418097582,24,32,6,0.75,6.47698161413599,8,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.48"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2008-2012 vs historic mean",1.32364858551736,14,32,6,0.4375,6.77123740314985,10,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.77"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2009-2013 vs historic mean",1.92296506773595,8,34,6,0.235294117647059,6.70057236090917,11,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.7"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2010-2014 vs historic mean",1.92296506773595,8,36,6,0.222222222222222,6.61270822431537,7,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.61"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2011-2015 vs historic mean",1.8117732083097,7,36,6,0.194444444444444,6.79513099133931,7,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.8"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2012-2016 vs historic mean",1.8117732083097,8,38,6,0.210526315789474,6.7900554661593,8,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.79"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2013-2017 vs historic mean",1.45720639273632,12,35,6,0.342857142857143,6.9348886328725,9,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.93"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2014-2018 vs historic mean",1.45720639273632,11,33,6,0.333333333333333,6.84121955233706,10,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.84"
"Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2015-2019 vs historic mean",1.45720639273632,11,34,6,0.323529411764706,6.66224009977505,14,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 6.66"
