"","year","w_bt_temp"
"1",1989,7.42874930097286
"2",1990,8.78987600068898
"3",1991,8.35809660987342
"4",1992,8.79369435510538
"5",1993,6.46820107228793
"6",1994,6.58491176476535
"7",1995,8.20404211199103
"8",1996,6.29262971967039
"9",1997,8.54960789391562
"10",1998,7.44196237676761
"11",1999,8.2872545100161
"12",2000,8.06344960666521
"13",2001,7.37232058645029
"14",2002,9.86580130196631
"15",2003,6.87897690305804
"16",2004,6.26560199829693
"17",2005,6.43757268352443
"18",2006,9.01384887086299
"19",2007,8.04022424021375
"20",2008,9.33770110322195
"21",2009,7.6893796133475
"22",2010,6.47664467112624
"23",2011,7.41493136672499
"24",2012,9.95438696277939
"25",2013,8.07892686553518
"26",2014,7.77661975044189
"27",2015,6.8990937615046
"28",2016,9.37786819879227
"29",2017,8.63112098023555
"30",2018,7.85351588547853
"31",2019,7.5591656656372
"32",2020,9.04817923596491
"33",2021,8.35032118463996
