"","year","mean_SHW","mean_SHW_anom","mean_SHW_T","mean_SHW_T_anom","ShW.T.anom"
"1",1978,2179.304,404.39,5.13,-0.99,-0.99
"2",1979,1668.214,-88.248,4.29,-1.84,-1.84
"3",1980,817.545,-932.597,4.38,-1.82,-1.82
"4",1981,1136.797,-643.856,5.09,-1.74,-1.74
"5",1982,2147.108,381.139,5.43,-1.23,-1.23
"6",1984,1939.29,115.296,6.46,-0.04,-0.04
"7",1985,783.059,-1047.207,4.7,-1.88,-1.88
"8",1991,1720.681,-30.056,7.57,1.19,1.19
"9",1992,2457.9775,688.1435,6.94,0.685,0.6
"10",1992,2457.9775,688.1435,6.94,0.685,0.77
"11",1993,2632.597,845.53,6.405,-0.08,0.9
"12",1993,2632.597,845.53,6.405,-0.08,-1.06
"13",1994,1874.0515,85.1015,5.855,-0.56,-0.22
"14",1994,1874.0515,85.1015,5.855,-0.56,-0.9
"15",1995,1101.9,-672.150333333333,6.41333333333333,-0.07,-0.17
"16",1995,1101.9,-672.150333333333,6.41333333333333,-0.07,0.17
"17",1995,1101.9,-672.150333333333,6.41333333333333,-0.07,-0.21
"18",1996,2369.843,583.172,5.86,-0.635,-0.15
"19",1996,2369.843,583.172,5.86,-0.635,-1.12
"20",1997,2268.408,495.903333333333,7.56333333333333,1.19,1.15
"21",1997,2268.408,495.903333333333,7.56333333333333,1.19,1.58
"22",1997,2268.408,495.903333333333,7.56333333333333,1.19,0.84
"23",1998,3231.10333333333,1461.44333333333,6.78666666666667,0.433333333333333,1.24
"24",1998,3231.10333333333,1461.44333333333,6.78666666666667,0.433333333333333,0.33
"25",1998,3231.10333333333,1461.44333333333,6.78666666666667,0.433333333333333,-0.27
"26",1999,2129.744,343.9565,7.995,1.58,2.29
"27",1999,2129.744,343.9565,7.995,1.58,0.87
"28",2000,757.8135,-1024.0915,5.945,-0.525,-0.9
"29",2000,757.8135,-1024.0915,5.945,-0.525,-0.15
"30",2001,2314.8005,524.9635,6.775,0.32,0.39
"31",2001,2314.8005,524.9635,6.775,0.32,0.25
"32",2002,1019.741,-756.8675,8.335,1.935,2.58
"33",2002,1019.741,-756.8675,8.335,1.935,1.29
"34",2003,1080.825,-691.791,4.93,-1.415,-1.99
"35",2003,1080.825,-691.791,4.93,-1.415,-0.84
"36",2004,1382.112,-393.9045,5.035,-1.3,-1.37
"37",2004,1382.112,-393.9045,5.035,-1.3,-1.23
"38",2005,2568.9355,789.8095,6.035,-0.325,0.07
"39",2005,2568.9355,789.8095,6.035,-0.325,-0.72
"40",2006,2068.637,293.039,7.865,1.54,2.18
"41",2006,2068.637,293.039,7.865,1.54,0.9
"42",2007,1060.5195,-713.8955,6.71,0.38,0.87
"43",2007,1060.5195,-713.8955,6.71,0.38,-0.11
"44",2008,2125.617,365.985,8.015,1.45,1.49
"45",2008,2125.617,365.985,8.015,1.45,1.41
"46",2009,1458.1035,-336.705,6.05,-0.495,-0.85
"47",2009,1458.1035,-336.705,6.05,-0.495,-0.14
"48",2010,1712.2225,-73.589,5.425,-0.955,-1.12
"49",2010,1712.2225,-73.589,5.425,-0.955,-0.79
"50",2011,2242.045,452.916,5.935,-0.505,-1.23
"51",2011,2242.045,452.916,5.935,-0.505,0.22
"52",2012,1467.8755,-302.983,8.94,2.66,2.33
"53",2012,1467.8755,-302.983,8.94,2.66,2.99
"54",2013,1132.212,-654.4755,6.52,0.015,0.4
"55",2013,1132.212,-654.4755,6.52,0.015,-0.37
"56",2014,1040.258,-737.366,5.1,-1.7,-1.7
"57",2015,779.645,-989.853,4.07,-2.63,-2.63
"58",2017,1572.972,-187.889,6.58,0,0
"59",2018,1885.759,100.259,6.6,-0.28,-0.28
"60",2019,2012.758,250.952,7.24,0.64,0.64
"61",2020,1869.236,119.996,8.13,1.81,1.81
"62",2021,1297.578,-468.391,7.24,0.58,0.58
