"","year","w_bt_temp"
"1",1989,6.46006208496141
"2",1990,8.05807689619474
"3",1991,7.44377395629712
"4",1992,6.93292260066831
"5",1993,5.55291217111487
"6",1994,6.28931321976229
"7",1995,7.44982763617596
"8",1996,5.60958280793005
"9",1997,8.12569742009364
"10",1998,6.01833629934173
"11",1999,8.16487499532068
"12",2000,7.60061806214745
"13",2001,6.97051202362226
"14",2002,8.54199063724327
"15",2003,5.62949406721769
"16",2004,5.00346427507976
"17",2005,5.53973422906682
"18",2006,8.3220677844377
"19",2007,7.40506048217118
"20",2008,7.22712716452113
"21",2009,8.38556020822866
"22",2010,6.40352568192238
"23",2011,6.19565935855388
"24",2012,10.4008899684047
"25",2013,7.34516938245867
"26",2014,6.96146949721198
"27",2015,7.71939107886551
"28",2016,8.40690308383229
"29",2017,7.82886020446275
"30",2018,7.16554830428487
"31",2019,7.30736046497854
"32",2020,8.10269752856242
"33",2021,8.16029804655022
