"","problem_files","last_known_chunk","error"
"1","geographic-distribution.Rmd","centroid-plot","Error in nrow(selected.surv.centroid) : 
  object 'selected.surv.centroid' not found
"
"2","revenue.Rmd","save-data","Error in head(selected_com_sp) : object 'selected_com_sp' not found
"
