"Species","Error","File throwing error","Chunk name","Line throwing error"
"Acadian redfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Alewife","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"American plaice","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Atlantic cod","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Atlantic halibut","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Atlantic herring","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Atlantic mackerel","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Atlantic wolffish","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Barndoor skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Black sea bass","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Bluefish","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Blueback herring","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Butterfish","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
