"Species","Error","File throwing error","Chunk name","Line throwing error"
"Acadian redfish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Alewife","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"American plaice","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Atlantic cod","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Atlantic halibut","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Atlantic herring","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Atlantic mackerel","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Atlantic wolffish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Barndoor skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Black sea bass","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Bluefish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Blueback herring","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Butterfish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Clearnose skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Haddock","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Little skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Monkfish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Ocean pout","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Offshore hake","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Pollock","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Red hake","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Rosette skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Scup","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Silver hake","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Smooth dogfish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Smooth skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Spiny dogfish","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Summer flounder","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Thorny skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"White hake","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Windowpane","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Winter flounder","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Winter skate","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Witch flounder","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Yellowtail flounder","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"American lobster","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
"Jonah crab","Error in dplyr::filter(., Var == ""cumulative intensity"") : 
  object 'hw_data' not found
","temperature.Rmd","stock-hw","34"
