Sci_name,SVSPP,Com_name
PROMETHICHTHYS PROMETHEUS,127,CONEJO
KATSUWONUS PELAMIS,128,SKIPJACK TUNA
CARANX CRYSOS,129,BLUE RUNNER
TARACTICHTHYS LONGIPINNIS ,130,BIGSCALE POMFRET
PEPRILUS TRIACANTHUS,131,BUTTERFISH
SELENE SETAPINNIS,132,ATLANTIC MOONFISH
SELENE VOMER,133,LOOKDOWN
PRIACANTHUS ARENATUS,134,BIGEYE
POMATOMUS SALTATRIX,135,BLUEFISH
MICROPOGONIAS UNDULATUS,136,ATLANTIC CROAKER
SYNAGROPS SPINOSUS,137,KEELCHEEK BASS
APOGONIDAE,138,CARDINALFISH UNCL
MORONE SAXATILIS,139,STRIPED BASS
MORONE AMERICANA,140,WHITE PERCH
CENTROPRISTIS STRIATA,141,BLACK SEA BASS
ORTHOPRISTIS CHRYSOPTERA,142,PIGFISH
STENOTOMUS CHRYSOPS,143,SCUP
EPIGONUS PANDIONIS,144,NA
CYNOSCION REGALIS,145,WEAKFISH
MENTICIRRHUS SAXATILIS,146,NORTHERN KINGFISH
POGONIAS CROMIS,147,BLACK DRUM
BAIRDIELLA CHRYSOURA,148,SILVER PERCH
LEIOSTOMUS XANTHURUS,149,SPOT
HOWELLA SHERBORNI ,150,SHERBORN'S CARDINALFISH
LOPHOLATILUS CHAMAELEONTICEPS,151,TILEFISH
PONTINUS LONGISPINIS,154,LONGSPINE SCORPIONFISH
SEBASTES FASCIATUS,155,ACADIAN REDFISH
HELICOLENUS DACTYLOPTERUS,156,BLACKBELLY ROSEFISH
ANTIGONIA CAPROS,158,DEEPBODY BOARFISH
ARTEDIELLUS ,159,HOOKEAR SCULPINS
COTTIDAE,160,SCULPIN UNCL
TRIGLOPS MURRAYI,161,MOUSTACHE SCULPIN
MYOXOCEPHALUS SCORPIUS,162,SHORTHORN SCULPIN
MYOXOCEPHALUS OCTODECEMSPINOSUS,163,LONGHORN SCULPIN
HEMITRIPTERUS AMERICANUS,164,SEA RAVEN
ASPIDOPHOROIDES MONOPTERYGIUS,165,ALLIGATORFISH
MYOXOCEPHALUS AENAEUS,166,GRUBBY
LIPARIS INQUILINUS,167,INQUILINE SNAILFISH
CYCLOPTERUS LUMPUS,168,LUMPFISH
EUMICROTREMUS SPINOSUS,169,ATLANTIC SPINY LUMPSUCKER
LIPARIS ATLANTICUS,170,ATLANTIC SEASNAIL
PRIONOTUS CAROLINUS,171,NORTHERN SEAROBIN
PRIONOTUS EVOLANS,172,STRIPED SEAROBIN
PERISTEDION MINIATUM,173,ARMORED SEAROBIN
TRIGLIDAE,174,SEAROBIN UNCL
DACTYLOPTERUS VOLITANS,175,FLYING GURNARD
TAUTOGOLABRUS ADSPERSUS,176,CUNNER
TAUTOGA ONITIS,177,TAUTOG
ASTROSCOPUS GUTTATUS,179,NORTHERN STARGAZER
PHOLIS GUNNELLUS,180,ROCK GUNNEL
AMMODYTES DUBIUS,181,NORTHERN SAND LANCE
LUMPENUS LUMPRETAEFORMIS,182,SNAKEBLENNY
LUMPENUS MACULATUS,183,DAUBED SHANNY
ULVARIA SUBBIFURCATA,184,RADIATED SHANNY
OPSANUS TAU,185,OYSTER TOADFISH
OTOPHIDIUM OMOSTIGMUM,186,POLKA-DOT CUSK-EEL
MULLUS AURATUS,187,RED GOATFISH
OPHIDION MARGINATUM,188,STRIPED CUSK-EEL
LYCODES RETICULATUS,189,ARCTIC EELPOUT
LYCENCHELYS VERRILLI,190,WOLF EELPOUT
CRYPTACANTHODES MACULATUS,191,WRYMOUTH
ANARHICHAS LUPUS,192,ATLANTIC WOLFFISH
MACROZOARCES AMERICANUS,193,OCEAN POUT
LEPOPHIDIUM PROFUNDORUM,194,FAWN CUSK-EEL
LAGOCEPHALUS LAEVIGATUS,195,SMOOTH PUFFER
SPHOEROIDES MACULATUS,196,NORTHERN PUFFER
LOPHIUS AMERICANUS,197,GOOSEFISH
CHILOMYCTERUS SCHOEPFI,198,STRIPED BURRFISH
DIBRANCHUS ATLANTICUS,199,ATLANTIC BATFISH
RHINOBATOS LENTIGINOSUS,200,ATLANTIC GUITARFISH
MONACANTHUS HISPIDUS,201,PLANEHEAD FILEFISH
BALISTES CAPRISCUS,202,GRAY TRIGGERFISH
SERIOLA DUMERILI,203,GREATER AMBERJACK
SERIOLA ZONATA,204,BANDED RUDDERFISH
SCOMBERESOX SAURUS,205,ATLANTIC SAURY
OGCOCEPHALUS CORNIGER,206,LONGNOSE BATFISH
HYPEROGLYPHE PERCIFORMIS,207,BARRELFISH
DECAPTERUS MACARELLUS,208,MACKEREL SCAD
SELAR CRUMENOPHTHALMUS,209,BIGEYE SCAD
DIAPHUS DUMERILI,210,HEADLIGHTFISH
DECAPTERUS PUNCTATUS,211,ROUND SCAD
TRACHURUS LATHAMI,212,ROUGH SCAD
ARIOMMA BONDI,213,SILVER RAG
TYLOSURUS CROCODILUS,215,HOUNDFISH
SYMPHURUS ,221,STRAIGHTMOUTH TONGUEFISHES
NESIARCHUS NASUTUS,227,BLACK GEMFISH
STOMIAS BOA,228,BOA DRAGONFISH
MAUROLICUS WEITZMANI ,229,WEITZMANS PEARLSIDES
CHLOROPHTHALMUS ,231,NA
CHLOROPHTHALMUS AGASSIZI,232,SHORTNOSE GREENEYE
GONOSTOMA BATHYPHILUM,233,NA
GONOSTOMA ATLANTICUM,234,NA
GONOSTOMA ELONGATUM,235,LONGTOOTH ANGLEMOUTH
VINCIGUERRIA ,236,NA
POLYMETME THAEOCORYLA ,237,NA
BENTHODESMUS SIMONYI,239,SIMONYS FROSTFISH
CHAULIODUS SLOANI,240,VIPERFISH
CHAULIODUS DANAE,241,NA
PARASUDIS TRUCULENTA,242,LONGNOSE GREENEYE
XENODERMICHTHYS COPEI,243,BLUNTNOSE SMOOTHHEAD
VINCIGUERRIA ATTENUATA,244,SLENDER LIGHTFISH
PARALEPIS COREGONOIDES,245,NA
ARCTOZENUS RISSO ,246,WHITE BARRACUDINA
STOMIIDAE,248,SCALY DRAGONFISH UNCL
CYCLOPTERIDAE,249,LUMPFISH SNAILFISH UNCL
ARGYROPELECUS ACULEATUS,250,SILVER HATCHETFISH
POLYIPNUS CLARUS ,251,SLOPE HATCHETFISH
STERNOPTYCHIDAE,252,HATCHETFISH UNCL
CAREPROCTUS RANULA ,260,NA
HOPLOSTETHUS MEDITERRANEUS,261,BLACKMOUTHED ALFONSIN
MELANOSTIGMA ATLANTICUM,262,ATLANTIC SOFT POUT
POLYMIXIA LOWEI,263,BEARDFISH
POLYMIXIA NOBILIS,264,STOUT BEARDFISH
MOLA MOLA,265,OCEAN SUNFISH
HOPLOSTETHUS OCCIDENTALIS,266,NA
ZOARCIDAE,267,EELPOUT UNCL
GEPHYROBERYX DARWINI,268,BIG ROUGHY
RHINOPTERA BONASUS,270,COWNOSE RAY
AETOBATUS NARINARI  ,271,SPOTTED EAGLE RAY
MANTA BIROSTRIS,272,MANTA
PRIONOTUS PARALATUS,274,MEXICAN SEAROBIN
MALACOCEPHALUS OCCIDENTALIS,280,WESTERN SOFTHEAD GRENADIER
YARELLA BLACKFORDI,281,NA
SPIRONTOCARIS PHIPPSII,285,PUNCTATE BLADE SHRIMP
SPIRONTOCARIS SPINUS,286,PARROT SHRIMP
CRANGON SEPTEMSPINOSA,287,SEVENSPINE BAY SHRIMP
EUALUS FABRICII,291,ARCTIC EUALID
PASIPHAEA MULTIDENTATA,292,PINK GLASS SHRIMP
LEBBEUS GROENLANDICUS,293,SPINY LEBBEID
LEBBEUS POLARIS,294,POLAR LEBBEID
SPIRONTOCARIS LILJEBORGII,295,FRIENDLY BLADE SHRIMP
DICHELOPANDALUS LEPTOCERUS,296,BRISTLED LONGBEAK
PANDALUS MONTAGUI,297,AESOP SHRIMP
PANDALUS PROPINQUUS,298,NA
PONTOPHILUS NORVEGICUS,299,NORWEGIAN SHRIMP
HOMARUS AMERICANUS,301,AMERICAN LOBSTER
SCYLLARIDES NODIFER,302,RIDGED SLIPPER LOBSTER
SCYLLARIDES AEQUINOCTIALIS,303,SPANISH SLIPPER LOBSTER
PANULIRUS ARGUS,304,CARIBBEAN SPINY LOBSTER
