"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"11","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2015,12,2015,"Partial Update","Full acceptance","CASA",NA,"NEFSC","Framework 27 to the Scallop FMP; Prepared by NEFSC staff on the NEFMC scallop PDT for the NEFMC.  March 14, 2016","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2015,0.430000007152557,"Annual Exploitation Rate","apical F (max F at age)",0.479999989271164,"Fmsy",0.479999989271164,"Direct estimate",0.896000027656555,0.896000027656555,NA,NA,NA,2015,196728,"mt (meat weight only)","Spawning biomass",48240,"0.5*Bmsy",96480,"Direct Estimate",4.07800006866455,2.03900003433228,23798,NA,"Sea scallop","Northwestern Atlantic Coast"
"12","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2018,8,2017,"Benchmark","Full acceptance","CASA",NA,"NEFSC","65th Northeast Regional SAW Assessment Summary Report. NEFSC CRD#18-08 (2018)","Deborah Hart",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2017,0.119999997317791,"Annual Exploitation Rate","apical F (max F at age)",0.639999985694885,"Fmsy",0.639999985694885,"Direct estimate",0.187999993562698,0.187999993562698,NA,NA,NA,2017,317334,"mt (meat weight only)","Total stock biomass",58383,"0.5*Bmsy",116766,"Direct Estimate",5.43499994277954,2.71799993515015,46531,"mt meat weight","Sea scallop","Northwestern Atlantic Coast"
"13","Red deepsea crab - Northwestern Atlantic","NEFMC","Deep-Sea Red Crab","NEFSC","Northeast Shelf","N",2006,7,2005,"Benchmark","Partial acceptance - Fishing mortality estimates","Survey Index & Landings",NA,"NEFSC & Bigelow Lab","NEFSC CRD 06-14 (2006)","Weinberg",2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,2005,2013,"mt","Total Catch",NA,"total catch",2830,"total catch",NA,0.709999978542328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red deepsea crab","Northwestern Atlantic"
"14","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2005,12,2004,"Full Update","Full acceptance","Age-Structured Forward Projection Model",NA,NA,"GARM Report (2005)",NA,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0020000000949949,"Exploitation","Ages_4-5",0.0399999991059303,"Fmsy",0.0399999991059303,"F50% msp",0.0500000007450581,0.0500000007450581,0.0130000002682209,"Frebuild",0.153999999165535,NA,175.589996337891,"Thousand Metric Tons","Spawning biomass",NA,"1/2 Bmsy proxy",NA,"Bmsy proxy",1.49000000953674,0.740000009536743,NA,NA,"Acadian redfish","Gulf of Maine / Georges Bank"
"15","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2008,9,2007,"Benchmark","Full acceptance","SCAA","StatCAM 1.3.1","NEFSC","NEFSC CRD 08-15 (GARM III)","James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.00700000021606684,"Rate","Fully_Selected_F",NA,NA,0.0399999991059303,"50%_MSP",0.0399999991059303,0.174999997019768,0.0379999987781048,"Frebuild",0.186000004410744,2007,172342,"mt","Retrospective_Adjusted_SSB",135500,"1/2 Bmsy proxy",271000,"50%_MSP",1.27199995517731,0.635999977588654,10139,NA,"Acadian redfish","Gulf of Maine / Georges Bank"
"16","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2012,3,2010,"Full Update","Full acceptance","SCAA","StatCAM 1.3.1","NEFSC","NEFSC CRD 12-06","James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.00600000005215406,"Rate","apical F (max F at age)",0.0399999991059303,"F50%",0.0399999991059303,"F50% as proxy",0.150000005960464,0.150000005960464,NA,"Frebuild",NA,2010,314780,"mt","Spawning biomass",119000,"1/2 Bmsy proxy",238000,"SSB/R9F50",2.64499998092651,1.32299995422363,8891,NA,"Acadian redfish","Gulf of Maine / Georges Bank"
"17","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2015,11,2014,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.0149999996647239,"Apical F","apical F (max F at age)",0.0379999987781048,"F50%",0.0379999987781048,"F50% as proxy",0.395000010728836,0.389999985694885,NA,"Frebuild",NA,2014,330004,"mt","Spawning biomass",140556,"1/2 Bmsy proxy",281112,"SSB/R9F50",2.34800004959106,1.16999995708466,10466,NA,"Acadian redfish","Gulf of Maine / Georges Bank"
"18","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2017,10,2016,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2017. Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 17-17.","Brian Linton",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.0109999999403954,"Apical F","apical F (max F at age)",0.0399999991059303,"F50%",0.0399999991059303,"F50% as proxy",0.275000005960464,0.275000005960464,NA,NA,NA,2016,359970,"mt","Spawning biomass",123959,"1/2 Bmsy proxy",247918,"SSB/R9F50",2.90400004386902,1.45200002193451,9318,"mt","Acadian redfish","Gulf of Maine / Georges Bank"
"19","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2005,12,2004,"Full Update","Full acceptance","VPA","ADAPT",NA,"GARM Report (2005)",NA,4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.150000005960464,"Rate","Fully_Recruited_F_Ages_5-8",NA,NA,NA,NA,0.920000016689301,NA,NA,"Fmsy",NA,2004,14149,"mt","SSB",NA,NA,NA,"SSBmsy",NA,0.5,NA,NA,"American plaice","Gulf of Maine / Georges Bank"
"20","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2008,9,2007,"Benchmark","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 08-15 (GARM III)","James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.0900000035762787,"Rate","Average_F_Ages_5-8",0.189999997615814,NA,0.189999997615814,NA,0.474000006914139,0.474000006914139,NA,NA,NA,2007,11106,"mt","Rho-Adjusted_SSB",10970,"0.5*Bmsy",21940,NA,1.01199996471405,0.505999982357025,4011,NA,"American plaice","Gulf of Maine / Georges Bank"
