Species,Region,Season,Year,Metric,Value,Units,Note
Acadian redfish,Gulf of Maine / Georges Bank,NA,NA,BBmsy,0.74000001,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2007,BBmsy,0.635999978,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2010,BBmsy,1.322999954,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2014,BBmsy,1.169999957,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2016,BBmsy,1.452000022,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,NA,FFmsy,0.050000001,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2007,FFmsy,0.174999997,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2010,FFmsy,0.150000006,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2014,FFmsy,0.389999986,ratio,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2016,FFmsy,0.275000006,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2004,BBmsy,0.5,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2007,BBmsy,0.505999982,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2010,BBmsy,0.587000012,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2014,BBmsy,0.839999974,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2016,BBmsy,0.989000022,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2004,FFmsy,NA,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2007,FFmsy,0.474000007,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2010,FFmsy,0.722000003,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2014,FFmsy,0.589999974,ratio,NA
American plaice,Gulf of Maine / Georges Bank,NA,2016,FFmsy,0.504999995,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2012,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2018,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,NA,BBmsy,0.104000002,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2007,BBmsy,0.119000003,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2010,BBmsy,0.079999998,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2011,BBmsy,0.071000002,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,NA,BBmsy,0.226999998,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2007,BBmsy,0.582000017,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2010,BBmsy,0.194000006,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2011,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2012,FFmsy,0.635999978,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2013,FFmsy,0.363999993,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2014,FFmsy,0.363999993,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2015,FFmsy,0.455000013,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2015,FFmsy,0.455000013,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2017,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2004,FFmsy,1.332999945,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2007,FFmsy,1.200000048,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2010,FFmsy,1.957000017,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2011,FFmsy,2.388999939,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,NA,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2004,FFmsy,2.799999952,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2007,FFmsy,1.899999976,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2010,FFmsy,5.699999809,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2011,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2013,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2014,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Eastern Georges Bank,NA,2018,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2012,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2018,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,NA,BBmsy,0.104000002,ratio,NA
Atlantic cod,Georges Bank,NA,2007,BBmsy,0.119000003,ratio,NA
Atlantic cod,Georges Bank,NA,2010,BBmsy,0.079999998,ratio,NA
Atlantic cod,Georges Bank,NA,2011,BBmsy,0.071000002,ratio,NA
Atlantic cod,Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,NA,BBmsy,0.226999998,ratio,NA
Atlantic cod,Georges Bank,NA,2007,BBmsy,0.582000017,ratio,NA
Atlantic cod,Georges Bank,NA,2010,BBmsy,0.194000006,ratio,NA
Atlantic cod,Georges Bank,NA,2011,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2012,FFmsy,0.635999978,ratio,NA
Atlantic cod,Georges Bank,NA,2013,FFmsy,0.363999993,ratio,NA
Atlantic cod,Georges Bank,NA,2014,FFmsy,0.363999993,ratio,NA
Atlantic cod,Georges Bank,NA,2015,FFmsy,0.455000013,ratio,NA
Atlantic cod,Georges Bank,NA,2015,FFmsy,0.455000013,ratio,NA
Atlantic cod,Georges Bank,NA,2017,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2004,FFmsy,1.332999945,ratio,NA
Atlantic cod,Georges Bank,NA,2007,FFmsy,1.200000048,ratio,NA
Atlantic cod,Georges Bank,NA,2010,FFmsy,1.957000017,ratio,NA
Atlantic cod,Georges Bank,NA,2011,FFmsy,2.388999939,ratio,NA
Atlantic cod,Georges Bank,NA,NA,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2004,FFmsy,2.799999952,ratio,NA
Atlantic cod,Georges Bank,NA,2007,FFmsy,1.899999976,ratio,NA
Atlantic cod,Georges Bank,NA,2010,FFmsy,5.699999809,ratio,NA
Atlantic cod,Georges Bank,NA,2011,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2013,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2014,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Georges Bank,NA,2018,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2012,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2015,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2018,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,NA,BBmsy,0.104000002,ratio,NA
Atlantic cod,Gulf of Maine,NA,2007,BBmsy,0.119000003,ratio,NA
Atlantic cod,Gulf of Maine,NA,2010,BBmsy,0.079999998,ratio,NA
Atlantic cod,Gulf of Maine,NA,2011,BBmsy,0.071000002,ratio,NA
Atlantic cod,Gulf of Maine,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,NA,BBmsy,0.226999998,ratio,NA
Atlantic cod,Gulf of Maine,NA,2007,BBmsy,0.582000017,ratio,NA
Atlantic cod,Gulf of Maine,NA,2010,BBmsy,0.194000006,ratio,NA
Atlantic cod,Gulf of Maine,NA,2011,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2013,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2014,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2016,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,NA,BBmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2012,FFmsy,0.635999978,ratio,NA
Atlantic cod,Gulf of Maine,NA,2013,FFmsy,0.363999993,ratio,NA
Atlantic cod,Gulf of Maine,NA,2014,FFmsy,0.363999993,ratio,NA
Atlantic cod,Gulf of Maine,NA,2015,FFmsy,0.455000013,ratio,NA
