prey_id,color
ANIMAL_REMAINS,#005885
ANNELIDA,#006B8C
ARTHROPODA,#007D93
BRACHIOPODA,#00878C
BRYOZOA,#008271
CHAETOGNATHA,#007E55
CHORDATA,#007939
CNIDARIA,#157253
CTENOPHORA,#306A7B
ECHINODERMATA,#4C61A3
FISH,#685BB9
MISCELLANEOUS,#885C82
MOLLUSCA,#A85D4C
OTHER,#C95E15
PORIFERA,#D05607
UNOBS,#C64714
UROCHORDATA,#BC3821
WORMS,#B2292E
