"","MATURITY","OLD_MATURITY","MATURITY_DESCRIPTION"
"1","00","X","UNKNOWN"
"2","01","I","IMMATURE"
"3","02","D","DEVELOPING"
"4","03","R","RIPE"
"5","04","E","EYED"
"6","05","U","RIPE AND RUNNING"
"7","06","S","SPENT"
"8","07","T","RESTING"
"9","12",NA,"FEMALE WITH NO EGGS, NO NOTCH"
"10","13",NA,"FEMALE WITH EGGS, NO NOTCH"
"11","14",NA,"FEMALE WITH NOTCH, NO EGGS"
"12","15",NA,"FEMALE WITH NOTCH AND EGGS"
"13","22",NA,"NORTHERN SHRIMP FEMALE STAGE1"
"14","23",NA,"NORTHERN SHRIMP FEMALE STAGE II"
"15","24",NA,"NORTHERN SHRIMP TRANSITIONAL"
"16","25",NA,"NORTHERN SHRIMP OVIGEROUS"
"17","26",NA,"NORTHERN SHRIMP FEMALE NON-SPAWNING"
"18","27",NA,"NORTHERN SHRIMP FEMALE NOT STAGED"
