"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"1","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2005,12,2004,"Benchmark","Full acceptance","ASAP",NA,NA,"SARC 42 Report (2006)",NA,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,0.310000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSBmsy",NA,3.5699999332428,NA,NA,"Atlantic mackerel","Gulf of Maine / Cape Hatteras"
"2","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2010,4,2008,"Full Update","Reject - Results too uncertain to be considered adequate","ADAPT VPA",NA,"NEFSC","TRAC Status Report 2010/01","James Weinberg",4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,2008,NA,"Annual Exploitation Rate",NA,NA,"F40%",NA,"F40% as proxy",NA,NA,NA,NA,NA,2008,NA,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic mackerel","Gulf of Maine / Cape Hatteras"
"3","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2018,2,2016,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","64th Northeast Regional Stock  Assessment Workshop (64th SAW) Assessment Summary Report. US Dept Commer,  Northeast Fish Sci Cent Ref Doc. 18-03","Kiersten Curti",4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.469999998807907,"Instantaneous annual F averaged across ages",NA,NA,"F40%",0.259999990463257,"F40% as proxy",NA,1.80799996852875,NA,NA,NA,2016,43519,"mt","Spawning biomass",98447,"0.5*Bmsy",196894,"SSB40%",0.44200000166893,0.221000000834465,NA,NA,"Atlantic mackerel","Gulf of Maine / Cape Hatteras"
"4","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2009,12,2008,"Benchmark","Partial acceptance - Fishing mortality estimates","KLAMZ",NA,"NEFSC","NEFSC CRD 10-01 (2010)","James Weinberg",3,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,2008,0.0199999995529652,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,"Butterfish","Gulf of Maine / Cape Hatteras"
"5","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2014,1,2012,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 14-03 (2014)","James Weinberg",3,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,2012,0.0199999995529652,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.810000002384186,".two thirds of M from Patterson",0.810000002384186,NA,0.025000000372529,0.025000000372529,NA,NA,NA,2012,79451,"mt","Spawning biomass",22808,".5 Bmsy proxy",45616,".proxy from Fproxy projection",3.48300004005432,1.74199998378754,36199,"mt","Butterfish","Gulf of Maine / Cape Hatteras"
"6","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2017,3,2016,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Butterfish 2017 Stock Assessment Update, Charles Adams","Charles Adams",3,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,2016,0.0500000007450581,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.810000002384186,"two thirds of M from Patterson",0.810000002384186,"two thirds of M from Patterson",0.061999998986721,0.061999998986721,NA,NA,NA,2016,64376,"mt","Spawning biomass",22808,".5 Bmsy proxy",45616,".proxy from Fproxy projection",2.82299995422363,1.41100001335144,36199,"mt","Butterfish","Gulf of Maine / Cape Hatteras"
"7","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2011,2,2009,"Benchmark","Partial acceptance - Biomass estimates",NA,NA,"NEFSC","NEFSC CRD 11-01 (2011)","James Weinberg",2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,2009,NA,"Annual Exploitation Rate","U (exploitation rate = catch/biomass)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,54442,"mt","Total stock biomass",21203,"0.5*Bmsy",42405,"Avg. survey CPUE",2.56800007820129,1.28400003910065,NA,NA,"Longfin inshore squid","Georges Bank / Cape Hatteras"
"8","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2017,5,2016,"Full Update","Full acceptance","Swept area biomass",NA,"NEFSC","Longfin Inshore Squid (Doryteuthis (Amerigo) pealeii) Stock Assessment Update for 2017. By L. Hendrickson, NEFSC PopDy. To MAFMC 4-25-2017","Lisa Hendrickson",2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,2009,NA,"Annual Exploitation Rate","U (exploitation rate = catch/biomass)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,73762,"mt","Survey_Biomass_2_yr_ave",21203,"0.5*Bmsy",42405,"Avg. survey CPUE",3.47900009155273,1.7389999628067,NA,NA,"Longfin inshore squid","Georges Bank / Cape Hatteras"
"9","Northern shortfin squid - Northwestern Atlantic Coast","MAFMC","Atlantic Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",2005,12,2004,"Benchmark","Full acceptance",NA,NA,NA,"SARC 42 Report (2006)",NA,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bmsy",NA,NA,NA,NA,"Northern shortfin squid","Northwestern Atlantic Coast"
"10","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2006,12,2005,"Benchmark","Full acceptance","Delay Difference",NA,"NEFSC","NEFSC CRD 07-03 (2007)","Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.0189999993890524,"annual exploitation rate","F rate",0.150000005960464,"M proxy",NA,"proxy",0.129999995231628,NA,NA,NA,NA,2005,1170000,"mt (meat weight only)","Exploitable biomass",450000,"1/4 biomass in 1999",9e+05,"proxy",2.59999990463257,1.29999995231628,135000,NA,"Atlantic surfclam","Mid-Atlantic Coast"
