"","state_id","color"
"1","CONNECTICUT","#306A7B"
"2","DELAWARE","#D65F00"
"3","MARYLAND","#008165"
"4","NEW JERSEY","#007934"
"5","NEW YORK","#9C5D62"
"6","RHODE ISLAND","#00678B"
"7","VIRGINIA","#00467F"
"8","MASSACHUSETTS","#B2292E"
"9","MAINE","#C34417"
"10","NEW HAMPSHIRE","#625BC4"
"11","PENNSYLVANIA","#008998"
