Year,Jurisdiction,FMP,Stock,FSSI,Science Center,Regional Ecosystem,Status Stock?,Assessment Year,Assessment Month,Last Data Year,Record Status,Update Type,Review Type,Assessment Model,Model Version,TimeSeries Data?,Survey Links?,Life History Data,Abundance Data,Catch Data,Assessment Frequency,Adequate,Assessment Level,Citation,Lead Lab,Point of Contact,Comments,Minimum F,Maximum F,Best F,F Year,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,Ftarget,Ftarget Basis,F/Flimit,F/Fmsy,F/Ftarget,Minimum B,Maximum B,Best B,B Year,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit,Stock Level Relative to Bmsy,Final assessment report,Assessment working paper,Assessment model input and out file,Assessment review document (including CIE and SSC),Citable Evaluation Document (for non-assessed stocks in support of status determinations),Decision memo related to status determinations,Other,Decision memo related to inadequate rebuilding progress
1998,ASMFC,ASMFC Not In FMP,River herrings (Alosa spp.) - Southern New England / Mid-Atlantic | Asmt & Status,N,NEFSC,Northeast Shelf,Y,1998,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,MAFMC,Tilefish,Tilefish - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,1998,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,ASMFC,ASMFC Not In FMP,Tautog - Northwestern Atlantic Coast | Asmt & Status,N,NEFSC,Northeast Shelf,Y,1999,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,MAFMC,"Mackerel, Squid and Butterfish",Atlantic mackerel - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,1999,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Barndoor skate - Georges Bank / Southern New England,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Clearnose skate - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Little skate - Georges Bank / Southern New England,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Rosette skate - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Smooth skate - Gulf of Maine,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Thorny skate - Gulf of Maine,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NEFMC,NEFMC FMP Under Development,Winter skate - Georges Bank / Southern New England,Y,NEFSC,Northeast Shelf, ,1999,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,ASMFC,ASMFC Not In FMP,American lobster - Atlantic Coast | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2000,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
