"","Year Day","ShW T","ShW T anom","ShW S","ShW S anom","ShW Vol","ShW Vol anom","Year"
"1",235,14.16,-0.44,33.03,0.41,3615.081,-798.953,1977.644
"2",297,14.18,-1.33,32.99,0.12,3094.942,-428.744,1977.814
"3",56,4.38,-1.25,33.03,0.02,4051.388,271.398,1978.154
"4",121,6.42,-1.51,32.72,-0.02,5127.427,908.419,1978.333
"5",182,11.12,-0.24,32.36,-0.21,3992.13,-1111.408,1978.498
"6",231,13.44,-0.91,32.46,-0.15,4185.743,-324.823,1978.632
"7",62,4.23,-1.38,33.17,0.18,3635.676,-120.643,1979.17
"8",132,8.25,-0.31,32.82,0.12,3914.663,-516.686,1979.363
"9",183,11.74,0.31,32.57,0,3562.013,-1543.045,1979.501
"10",230,14.05,-0.28,32.72,0.11,3938.004,-580.504,1979.631
"11",285,15.56,-0.33,32.84,0.03,3257.878,-311.754,1979.78
"12",69,4.13,-1.54,33.41,0.45,2774.99,-964.301,1980.189
"13",114,7.09,-0.42,33.2,0.43,3493.219,-596.386,1980.313
"14",152,9.63,-0.05,33.09,0.46,3900.287,-904.623,1980.417
"15",205,12.92,0.17,32.98,0.41,3958.77,-1017.84,1980.561
"16",278,15.77,-0.19,33.18,0.39,3055.58,-570.022,1980.762
"17",334,9.92,-2.67,33.37,0.36,2404.357,-1327.418,1980.916
"18",87,4.81,-1.35,33.36,0.47,3009.303,-764.833,1981.238
"19",77,4.7,-1.15,32.72,-0.21,4022.159,282.345,1982.212
"20",154,10.07,0.31,32.51,-0.12,4471.911,-357.314,1983.421
"21",329,12.66,-0.49,32.9,-0.09,4374.118,690.454,1983.901
"22",33,6.26,-0.09,32.78,-0.28,3806.856,-95.444,1984.092
"23",136,8.47,-0.3,32.3,-0.39,4263.325,-240.547,1984.373
"24",314,15.42,0.9,33,0.06,2895.67,-673.484,1984.859
"25",32,5.77,-0.67,33.37,0.31,1829.219,-2080.291,1985.088
"26",105,7.1,0.07,33.37,0.56,2889.904,-1065.865,1985.289
"27",140,10.41,1.41,33.28,0.61,3432.128,-1150.866,1985.384
"28",249,16.21,0.89,33.05,0.38,3487.987,-612.337,1985.683
"29",319,14.81,0.71,33.19,0.23,2625.193,-976.847,1985.873
"30",17,6.86,-0.63,33.27,0.19,1887.763,-2071.651,1986.048
"31",136,9.38,0.61,33.04,0.35,2650.844,-1853.028,1986.373
"32",247,15.93,0.69,32.8,0.14,2959.347,-1180.036,1986.678
"33",315,14.36,-0.04,33.11,0.17,3055.895,-521.943,1986.863
"34",17,7.44,-0.05,33.07,-0.01,3271.84,-687.574,1987.048
"35",133,7.9,-0.68,32.66,-0.04,4083.275,-355.326,1987.364
"36",238,13.83,-0.94,32.54,-0.09,4545.055,196.119,1987.652
"37",317,12,-2.25,32.61,-0.34,4501.055,911.536,1987.868
"38",77,6.57,0.74,33.04,0.1,3592.389,-146.333,1991.21
"39",217,12.14,-1.37,32.61,0.03,5687.868,896.921,1991.594
"40",263,16.35,0.55,32.62,-0.1,3793.945,-37.652,1991.721
"41",75,5.92,0.14,32.92,-0.02,4307.456,570.556,1992.205
"42",171,10.31,-0.44,32.24,-0.35,4359.262,-691.181,1992.469
"43",266,14.98,-0.88,32.56,-0.17,4347.963,564.458,1992.729
"44",45,6.05,0.2,32.95,-0.09,4978.938,1140.97,1993.124
"45",83,4.97,-1.06,32.69,-0.22,4697.205,940.813,1993.228
"46",218,12.55,-1,32.51,-0.07,5500.499,722.853,1993.596
"47",261,15.43,-0.32,32.71,0,4164.297,300.924,1993.716
"48",39,5.49,-0.58,32.99,-0.06,3993.421,122.328,1994.108
"49",73,4.84,-0.9,32.71,-0.24,3606.23,-130.11,1994.2
"50",181,12.12,0.78,32.41,-0.16,4244.758,-858.103,1994.497
"51",215,13.61,0.19,32.64,0.06,3567.589,-1249.34,1994.59
"52",264,15.83,0.01,32.86,0.13,3511.834,-301.321,1994.724
"53",47,5.85,0.04,33.33,0.3,2381.298,-1448.397,1995.128
"54",84,6.23,0.18,33.27,0.36,3307.442,-452.035,1995.23
"55",261,17.66,1.93,32.85,0.14,3288.04,-588.395,1995.714
"56",46,5.59,-0.24,33.08,0.04,5006.673,1172.85,1996.126
"57",87,5.01,-1.15,32.68,-0.21,3886.852,112.716,1996.238
"58",162,9.61,-0.65,32.21,-0.39,4981.84,23.894,1996.445
"59",219,11.85,-1.8,31.99,-0.6,5731.451,980.998,1996.6
"60",264,14.05,-1.77,32.07,-0.66,4906.945,1093.79,1996.724
"61",43,6.9,0.98,32.52,-0.52,4832.168,981.719,1997.118
"62",74,6.81,1.05,32.35,-0.6,4247.876,511.348,1997.203
"63",264,16.67,0.85,32.5,-0.23,3266.507,-546.648,1997.724
"64",47,6.57,0.76,32.7,-0.33,5610.118,1780.423,1998.128
"65",72,5.95,0.23,32.41,-0.54,5070.181,1333.592,1998.197
"66",150,9.85,0.27,32.03,-0.61,4989.111,215.554,1998.412
"67",209,12.5,-0.51,31.91,-0.66,5742.374,819.918,1998.572
"68",274,14.94,-1.02,32.1,-0.67,4650.216,984.081,1998.752
"69",311,13.2,-1.51,32.17,-0.76,4681.534,1126.032,1998.852
"70",40,8.1,2.05,32.71,-0.34,4575.801,706.749,1999.109
"71",77,6.39,0.54,32.48,-0.45,3691.322,-48.492,1999.212
"72",205,15.03,2.28,32.67,0.1,3877.337,-1099.273,1999.561
"73",275,17.8,1.84,32.79,0.02,2565.934,-1091.566,1999.754
"74",51,5.74,0.04,33.47,0.45,2134.179,-1671.399,2000.14
"75",87,6.61,0.45,33.15,0.26,2803.762,-970.374,2000.238
"76",148,10.27,0.84,32.98,0.34,4087.123,-640.929,2000.405
"77",205,13.05,0.3,32.89,0.32,5108.102,131.492,2000.561
"78",260,16.09,0.37,32.79,0.08,3435.404,-447.634,2000.713
"79",309,13.88,-1,32.96,0.04,4767.517,1223.519,2000.845
"80",39,6.43,0.35,33.2,0.15,4456.376,583.25,2001.107
"81",76,6,0.18,33,0.06,4201.765,463.511,2001.209
"82",143,9.04,-0.1,32.57,-0.09,4405.797,-226.68,2001.391
"83",190,11.36,-0.48,32.64,0.07,5374.21,277.358,2001.52
"84",260,15.77,0.06,32.67,-0.04,3311.393,-578.297,2001.712
"85",306,15.67,0.64,33.29,0.38,3138.135,-397.863,2001.839
"86",50,7.71,1.99,33.37,0.34,3294.747,-516.722,2002.137
"87",78,7.46,1.59,33.27,0.34,2842.278,-898.841,2002.214
"88",146,10.86,1.53,33.08,0.43,4230.106,-464.435,2002.4
"89",207,14.15,1.24,32.88,0.31,5072.092,128.974,2002.568
"90",230,16.11,1.82,32.85,0.24,3954.365,-579.967,2002.629
"91",261,16.65,0.92,32.9,0.19,3809.296,-67.139,2002.714
"92",306,15.64,0.59,33.21,0.3,2688.696,-846.145,2002.838
"93",51,4.58,-1.12,33.46,0.44,2635.895,-1169.683,2003.14
"94",80,5.12,-0.8,33.2,0.28,3705.44,-39.885,2003.219
"95",219,11.52,-2.15,32.97,0.38,5108.387,364.851,2003.601
"96",265,16.12,0.28,32.78,0.05,3550.146,-250.983,2003.726
"97",48,4.09,-1.67,33.24,0.21,3528.104,-291.379,2004.133
"98",78,4.53,-1.33,33.14,0.21,3580.562,-159.878,2004.213
"99",149,9.09,-0.43,32.89,0.25,4396.595,-357.677,2004.409
"100",195,10.69,-1.48,32.8,0.24,5838.83,770.139,2004.535
"101",233,13.32,-1.16,32.51,-0.11,4370.203,-92.341,2004.638
"102",266,14.7,-1.16,32.62,-0.11,3947.988,164.483,2004.729
"103",310,14.13,-0.63,32.87,-0.05,4054.345,502.358,2004.85
"104",46,5.75,-0.09,32.71,-0.33,5001.906,1166.012,2005.125
"105",77,4.87,-0.97,32.54,-0.39,4372.388,633.146,2005.211
"106",147,8.36,-1.05,31.98,-0.67,4458.195,-263.218,2005.404
"107",207,12.19,-0.68,32.14,-0.43,5379.969,426.93,2005.566
"108",265,15.88,0.04,32.34,-0.39,3955.245,154.116,2005.726
"109",314,14.19,-0.3,32.48,-0.46,4029.799,458.532,2005.86
"110",48,7.39,1.61,32.82,-0.21,4388.772,565.226,2006.131
"111",76,6.48,0.66,32.84,-0.1,3637.84,-100.414,2006.209
"112",155,11.64,1.79,32.54,-0.08,3036.22,-1816.583,2006.425
"113",202,13.98,1.43,32.43,-0.14,4434.354,-580.074,2006.552
"114",231,15.48,1.08,32.6,-0.01,4041.755,-452.87,2006.634
"115",260,16.06,0.36,32.62,-0.09,3746.946,-149.442,2006.711
"116",50,6.13,0.4,33.25,0.22,2626.58,-1186.877,2007.136
"117",79,5.8,-0.09,33.21,0.28,3313.705,-428.933,2007.216
"118",146,9.32,-0.01,32.88,0.23,4637.067,-57.474,2007.4
"119",201,12.39,-0.14,32.66,0.09,5157.335,139.083,2007.551
"120",231,14.29,-0.06,32.68,0.07,4262.212,-248.354,2007.632
"121",268,14.66,-1.23,32.85,0.11,4334.414,579.146,2007.734
"122",309,14.34,-0.52,32.75,-0.17,4902.321,1356.819,2007.846
"123",79,6.82,0.92,32.55,-0.38,3643.772,-99.707,2008.217
"124",83,6.94,0.94,32.83,-0.08,4600.39,846.853,2008.226
"125",187,12.07,0.41,32.52,-0.05,5456.382,352.312,2008.512
"126",230,13.43,-0.88,32.69,0.08,3985.516,-540.915,2008.63
"127",261,15.32,-0.42,32.69,-0.02,3647.599,-222.281,2008.715
"128",306,14.75,-0.3,33.03,0.12,4178.266,643.425,2008.838
"129",32,6.19,-0.27,32.92,-0.14,3244.461,-666.804,2009.087
"130",77,5.6,-0.25,32.92,-0.01,3839.09,99.276,2009.212
"131",142,8.7,-0.42,32.78,0.12,5341.613,716.149,2009.39
"132",151,9.86,0.24,32.62,-0.01,4434.746,-351.475,2009.414
"133",233,14.91,0.41,32.59,-0.03,4295.525,-158.963,2009.639
"134",269,16.63,0.72,32.81,0.06,3387.165,-351.863,2009.737
"135",311,14.27,-0.44,33.02,0.09,3644.118,88.616,2009.852
"136",75,5.64,-0.13,32.93,-0.01,4127.39,390.701,2010.204
"137",145,8.96,-0.29,32.53,-0.13,5830.505,1163.297,2010.396
"138",150,9.99,0.43,32.35,-0.29,4740.648,-26.518,2010.411
"139",269,16.18,0.27,32.58,-0.17,3737.38,3.646,2010.738
"140",316,13.73,-0.58,32.74,-0.21,4042.296,457.555,2010.866
"141",36,5.57,-0.67,32.83,-0.23,4217.063,326.08,2011.098
"142",75,5.92,0.14,32.88,-0.06,4640.194,903.294,2011.205
"143",159,11.47,1.4,32.23,-0.38,4258.661,-654.778,2011.436
