"","Year Day","ShW T","ShW T anom","ShW S","ShW S anom","ShW Vol","ShW Vol anom","Year"
"1",238,15.45,-0.06,32.92,0.37,1829.722,-729.23,1977.651
"2",295,14.57,-1.84,32.99,0.17,1896.775,15.187,1977.809
"3",52,5.13,-0.99,33.29,0.16,2179.304,404.39,1978.142
"4",115,6.85,-1.69,32.92,0.08,2941.876,887.863,1978.314
"5",178,12.06,0.07,32.32,-0.22,2352.301,-549.256,1978.489
"6",228,13.97,-1,32.3,-0.22,2378.137,-306.234,1978.626
"7",60,4.29,-1.84,33.25,0.15,1668.214,-88.248,1979.164
"8",130,9.14,-0.32,32.84,0.09,2169.276,-113.172,1979.357
"9",179,12.45,0.4,32.55,0.01,2236.651,-671.299,1979.492
"10",228,14.47,-0.47,32.54,0.02,2409.109,-279.975,1979.625
"11",282,16.65,-0.14,32.7,-0.04,1886.909,-91.155,1979.772
"12",65,4.38,-1.82,33.54,0.46,817.545,-932.597,1980.178
"13",112,7.62,-0.77,33.2,0.35,1701.108,-320.037,1980.307
"14",149,10.13,-0.35,33.06,0.41,2291.481,-280.672,1980.408
"15",203,13.83,0.48,32.89,0.39,2130.225,-791.368,1980.555
"16",275,16.3,-0.52,33.12,0.42,2214.951,171.642,1980.754
"17",329,10.84,-2.86,33.39,0.39,1266.952,-572.543,1980.902
"18",84,5.09,-1.74,33.55,0.55,1136.797,-643.856,1981.23
"19",80,5.43,-1.23,32.84,-0.18,2147.108,381.139,1982.219
"20",150,10.71,0.16,32.34,-0.31,2413.417,-180.301,1983.412
"21",325,13.47,-0.66,33.02,0.04,2369.16,535.34,1983.891
"22",37,6.46,-0.04,32.9,-0.25,1939.29,115.296,1984.101
"23",134,9.3,-0.37,32.14,-0.59,2222.225,-117.397,1984.367
"24",310,16.22,0.72,32.93,0.03,1813.575,-19.667,1984.85
"25",35,4.7,-1.88,33.31,0.15,783.059,-1047.207,1985.096
"26",109,8.41,0.22,33.48,0.61,1158.419,-822.802,1985.298
"27",142,12.36,2.25,33.41,0.72,1669.047,-797.015,1985.389
"28",246,17.45,1.48,33.05,0.48,1932.62,-503.142,1985.674
"29",315,15.97,0.89,33.23,0.3,1412.733,-416.207,1985.864
"30",14,7.02,-1.01,32.98,-0.18,573.518,-1312.748,1986.039
"31",133,10.08,0.47,33.04,0.3,1380.223,-942.177,1986.364
"32",244,16.64,0.77,32.82,0.25,1781.541,-681.271,1986.669
"33",313,15.76,0.47,33.11,0.2,1510.546,-319.87,1986.857
"34",12,8.19,-0.04,33.14,-0.01,1295.154,-594.359,1987.033
"35",131,8.24,-1.24,32.71,-0.04,2476.174,188.043,1987.358
"36",235,15.25,-0.11,32.45,-0.09,2309.587,-285.73,1987.644
"37",313,13.32,-1.97,32.71,-0.2,2289.108,458.692,1987.857
"38",26,6.55,-0.55,32.77,-0.39,2455.862,596.44,1988.071
"39",72,7.57,1.19,33.16,0.1,1720.681,-30.056,1991.198
"40",216,11.78,-2.38,32.69,0.18,3763.545,934.36,1991.591
"41",259,17.08,0.54,32.54,-0.09,2346.872,107.401,1991.711
"42",47,6.79,0.6,33.3,0.16,2508.746,718.318,1992.128
"43",70,7.09,0.77,33.14,0.07,2407.209,657.969,1992.192
"44",168,11.09,-0.36,32.27,-0.3,2481.13,-334.153,1992.46
"45",219,12.68,-1.67,32.34,-0.17,3447.462,647.26,1992.599
"46",262,15.04,-1.57,32.42,-0.22,2725.038,520.646,1992.718
