"Species","Region","Year","Value","Metric","Description","Units","AssessmentYear","Age","Category"
"Black sea bass","Mid-Atlantic",1989,3194,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1990,3040,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1991,3142,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1992,2914,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1993,3573,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1994,2443,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1995,3171,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1996,4724,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1997,3973,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1998,2263,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",1999,2736,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2000,3939,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2001,5025,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2002,5518,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2003,4595,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2004,3521,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2005,3173,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2006,2933,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2007,2920,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2008,3132,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Black sea bass","Mid-Atlantic",2009,3838,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
