"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1944-1948 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1945-1949 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1946-1950 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1947-1951 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1948-1952 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1949-1953 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1950-1954 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1951-1955 mean",NA,NA,NA,2,NA,1.72727272727273,14,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.73"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1952-1956 mean",NA,NA,NA,2,NA,1.59090909090909,12,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1953-1957 mean",NA,NA,NA,2,NA,1.59090909090909,12,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1954-1958 mean",NA,NA,NA,2,NA,1.59090909090909,10,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1955-1959 mean",NA,NA,NA,2,NA,1.59090909090909,8,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1956-1960 mean",NA,NA,NA,2,NA,1.59090909090909,11,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1957-1961 mean",NA,NA,NA,2,NA,1.59090909090909,10,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1958-1962 mean",NA,NA,NA,2,NA,1.59090909090909,11,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
